loopwarm2: readback from /dev/pps0 (pps@1b)
loopwarm: lead=150us margin=30us, GPIO17 -> jumper -> GPIO27
1788752959.999853591,4870
1788752960.999853211,3148
1788752961.999853257,3037
1788752962.999856544,6296
1788752963.999855424,4370
1788752964.999854877,3759
1788752965.999853571,3241
1788752966.999853747,2982
1788752967.999855423,3426
1788752968.999853524,3723
1788752969.999852887,2870
1788752970.999852955,3166
1788752971.999853356,2722
1788752972.999852701,2760
1788752973.999852916,2796
1788752974.999852799,2685
1788752975.999852755,2574
1788752976.999853027,2741
1788752977.999853090,2759
1788752978.999852821,2722
1788752979.999852926,2852
1788752980.999852735,2888
1788752981.999852710,2555
1788752982.999852852,2574
1788752983.999852716,2481
1788752984.999852839,2519
1788752985.999852722,2574
1788752986.999852753,2629
1788752987.999852876,2944
1788752988.999853222,3592
1788752989.999853473,2815
1788752990.999852890,2592
1788752991.999853028,2667
1788752992.999853093,2926
1788752993.999852920,2667
1788752994.999853117,2519
1788752995.999853056,2648
1788752996.999852846,2722
1788752997.999852747,2537
1788752998.999852685,2537
1788752999.999853179,2667
1788753000.999852858,2815
1788753001.999852759,2963
1788753002.999852771,2519
1788753003.999852765,3000
1788753004.999852796,2592
1788753005.999852808,2500
1788753006.999852894,2426
1788753007.999852907,2555
1788753008.999852845,2574
1788753009.999852968,2630
1788753010.999853018,2629
1788753011.999852974,3037
1788753012.999852820,2704
1788753013.999852905,2778
1788753014.999852784,2741
1788753015.999852738,2759
1788753016.999852750,2575
1788753017.999852965,2556
1788753018.999853030,2666
1788753019.999852891,2648
1788753020.999852881,2704
1788753021.999853095,2778
1788753022.999852867,2778
1788753023.999852935,2870
1788753024.999852891,2760
1788753025.999852885,2685
1788753026.999852860,2760
1788753027.999852687,2741
1788753028.999852811,2592
1788753029.999852694,2518
1788753030.999853206,2537
1788753031.999852811,2592
1788753032.999852786,2593
1788753033.999852835,2685
1788753034.999852829,2611
1788753035.999852767,2556
1788753036.999852872,2593
1788753037.999852898,2963
1788753038.999853012,2982
1788753039.999852913,2722
1788753040.999852759,2592
1788753041.999853918,2759
1788753042.999852741,2667
1788753043.999853102,2908
1788753044.999853241,3019
1788753045.999852900,2722
1788753046.999853097,2648
1788753047.999853128,2870
1788753048.999852788,2686
1788753049.999852801,2611
1788753050.999852832,2611
1788753051.999852770,2574
1788753052.999852708,2555
1788753053.999852813,2778
1788753054.999852788,2593
1788753055.999852708,2537
1788753056.999852942,2945
1788753057.999853343,3112
1788753058.999853059,2871
1788753059.999853072,3277
1788753060.999852788,2759
1788753061.999853244,3074
1788753062.999852831,2574
1788753063.999853065,2593
1788753064.999852726,2537
1788753065.999852775,2556
1788753066.999853028,2611
1788753067.999852837,2703
1788753068.999852830,2574
1788753069.999852861,2778
1788753070.999852725,2667
1788753071.999852849,2555
1788753072.999852602,2777
1788753073.999852853,2556
1788753074.999852751,2611
1788753075.999852742,2666
1788753076.999852714,2555
1788753077.999853372,2741
1788753078.999852866,2630
1788753079.999853008,2815
1788753080.999853020,2630
1788753081.999853014,2741
1788753082.999852989,2667
1788753083.999853502,2907
1788753084.999853403,2815
1788753085.999853062,2722
1788753086.999852756,2593
1788753087.999853487,2963
1788753088.999852793,2851
1788753089.999852951,2871
1788753090.999852760,2648
1788753091.999853105,2667
1788753092.999852970,2777
1788753093.999852945,2759
1788753094.999852994,2815
1788753095.999853081,2629
1788753096.999853111,2630
1788753097.999852790,2556
1788753098.999852821,2611
1788753099.999852778,2796
1788753100.999852827,2611
1788753101.999852728,2704
1788753102.999852741,2481
1788753103.999852845,2537
1788753104.999852784,2703
1788753105.999852740,2593
1788753106.999852864,2611
1788753107.999852783,2556
1788753108.999853111,2500
1788753109.999852862,2556
1788753110.999852741,2741
1788753111.999852769,2611
1788753112.999852963,2926
1788753113.999852900,2703
1788753114.999852782,2574
1788753115.999853054,2593
1788753116.999852900,2759
1788753117.999853301,2815
1788753118.999853054,2629
1788753119.999852881,2685
1788753120.999852986,2666
1788753121.999852868,2852
1788753122.999852936,2685
1788753123.999852967,2667
1788753124.999852646,2556
1788753125.999852843,2463
1788753126.999852782,2574
1788753127.999853257,2759
1788753128.999852769,2611
1788753129.999852763,2741
1788753130.999852664,2482
1788753131.999852862,2703
1788753132.999852726,2629
1788753133.999852719,2519
1788753134.999852843,2537
1788753135.999852818,2796
1788753136.999852664,2555
1788753137.999852767,2574
1788753138.999854035,3482
1788753139.999853452,3592
1788753140.999853313,2889
1788753141.999853101,2889
1788753142.999852947,2740
1788753143.999853385,2741
1788753144.999852934,2648
1788753145.999852761,2704
1788753146.999852922,2685
1788753147.999853286,3259
1788753148.999853261,2852
1788753149.999852681,2981
1788753150.999852897,2889
1788753151.999854483,2833
1788753152.999853014,2537
1788753153.999853136,2759
1788753154.999852830,2759
1788753155.999853284,2648
1788753156.999852922,2593
1788753157.999852874,2685
1788753158.999853065,2667
1788753159.999853056,2538
1788753160.999852958,2685
1788753161.999853544,2593
1788753162.999852908,2648
1788753163.999852902,2685
1788753164.999853025,2611
1788753165.999853073,2963
1788753166.999852841,2537
1788753167.999852851,2555
1788753168.999853026,2519
1788753169.999852740,2593
1788753170.999852697,2445
1788753171.999852876,2926
1788753172.999852833,2870
1788753173.999853012,2741
1788753174.999853006,2648
1788753175.999852888,2722
1788753176.999852752,2649
1788753177.999852822,2666
1788753178.999852763,2519
1788753179.999852720,2611
1788753180.999853140,2722
1788753181.999853282,2630
1788753182.999853794,2537
1788753183.999852881,2759
1788753184.999852967,2741
1788753185.999852905,2815
1788753186.999852806,2574
1788753187.999852930,2666
1788753188.999852812,2667
1788753189.999853158,2741
1788753190.999852818,2797
1788753191.999853183,2759
1788753192.999852658,2703
1788753193.999852854,2629
1788753194.999852770,2630
1788753195.999852668,2463
1788753196.999852696,2463
1788753197.999852928,2500
1788753198.999852756,2500
1788753199.999852805,2500
1788753200.999852762,2574
1788753201.999852829,2630
1788753202.999852786,2574
1788753203.999852873,2555
1788753204.999852977,2760
1788753205.999853138,2833
1788753206.999853650,2741
1788753207.999853551,3019
1788753208.999853304,2797
1788753209.999853280,2740
1788753210.999853644,2740
1788753211.999853415,2537
1788753212.999852835,2518
1788753213.999852920,2592
1788753214.999853077,2907
1788753215.999852827,2741
1788753216.999852688,2592
1788753217.999852791,2537
1788753218.999852711,2518
1788753219.999852816,2611
1788753220.999852939,2685
1788753221.999853396,2833
1788753222.999852852,2556
1788753223.999852939,2629
1788753224.999852840,2630
1788753225.999852852,2648
1788753226.999852698,2666
1788753227.999852969,2556
1788753228.999852759,2704
1788753229.999852772,2555
1788753230.999852802,2575
1788753231.999854389,3815
1788753232.999853253,3556
1788753233.999852784,3185
1788753234.999852778,2888
1788753235.999852864,2815
1788753236.999852747,2814
1788753237.999852685,2611
1788753238.999852790,2463
1788753239.999852820,2871
1788753240.999852981,2778
1788753241.999853141,2574
1788753242.999852857,2574
1788753243.999853036,2630
1788753244.999853085,2556
1788753245.999853004,2592
1788753246.999852809,2556
1788753247.999852818,2611
1788753248.999852848,2537
1788753249.999852857,2630
1788753250.999852865,2500
1788753251.999852821,2519
1788753252.999852834,2592
1788753253.999852861,2519
1788753254.999852756,2519
1788753255.999853060,2704
1788753256.999853795,2722
1788753257.999853844,2833
1788753258.999852690,2759
1788753259.999853295,2944
1788753260.999852807,2704
1788753261.999852967,2704
1788753262.999852906,2629
1788753263.999852918,2537
1788753264.999852708,2611
1788753265.999852811,2648
1788753266.999853098,2982
1788753267.999853052,2926
1788753268.999852838,2741
1788753269.999853034,2741
1788753270.999852824,2630
1788753271.999852818,2648
1788753272.999853034,2648
1788753273.999852824,2648
1788753274.999852892,2518
1788753275.999853237,2575
1788753276.999852898,3055
1788753277.999853003,2500
1788753278.999852867,2630
1788753279.999853101,2741
1788753280.999852873,2630
1788753281.999853163,3259
1788753282.999852972,2740
1788753283.999852836,2574
1788753284.999852829,2537
1788753285.999852749,2519
1788753286.999852743,2704
1788753287.999852866,2593
1788753288.999852619,2482
1788753289.999854058,2537
1788753290.999852755,2463
1788753291.999853008,2870
1788753292.999852817,2759
1788753293.999852957,2796
1788753294.999853207,2629
1788753295.999853216,2889
1788753296.999853040,2555
1788753297.999853106,2685
1788753298.999852803,2537
1788753299.999852779,2648
1788753300.999852995,2592
1788753301.999852933,2666
1788753302.999852760,2555
1788753303.999852902,2722
1788753304.999852858,2686
1788753305.999852834,2555
1788753306.999852790,2537
1788753307.999852766,2537
1788753308.999852815,2685
1788753309.999852883,2759
1788753310.999853543,2648
1788753311.999853000,2796
1788753312.999852827,2778
1788753313.999852987,2871
1788753314.999852833,2500
1788753315.999852956,2575
1788753316.999852728,2537
1788753317.999852998,2537
1788753318.999852618,2537
1788753319.999854646,4000
1788753320.999853470,3240
1788753321.999853110,2667
1788753322.999852826,2796
1788753323.999852986,2852
1788753324.999852943,3019
1788753325.999852770,2685
1788753326.999852856,2815
1788753327.999854443,3203
1788753328.999853992,3519
1788753329.999853614,3352
1788753330.999853642,3351
1788753331.999853503,3203
1788753332.999852975,2722
1788753333.999852892,2704
1788753334.999852960,2760
1788753335.999852917,2778
1788753336.999852707,2537
1788753337.999852682,2778
1788753338.999852843,2555
1788753339.999852929,2667
1788753340.999852830,2685
1788753341.999852917,2851
1788753342.999852836,2760
1788753343.999852997,2537
1788753344.999853046,2778
1788753345.999852873,2630
1788753346.999852793,2555
1788753347.999852713,2481
1788753348.999852910,2648
1788753349.999852885,2574
1788753350.999852675,2537
1788753351.999852725,2555
1788753352.999852774,2611
1788753353.999852860,2593
1788753354.999852798,2630
1788753355.999852903,2815
1788753356.999852971,2630
1788753357.999852946,2593
1788753358.999853144,2574
1788753359.999852989,2649
1788753360.999854094,2797
1788753361.999852790,2704
1788753362.999853114,2834
1788753363.999853105,2889
1788753364.999853058,2723
1788753365.999852902,2704
1788753366.999853026,2685
1788753367.999852816,2814
1788753368.999853272,2667
1788753369.999852822,2574
1788753370.999852889,2575
1788753371.999852846,2574
1788753372.999852803,2500
1788753373.999852851,2611
1788753374.999852952,2760
1788753375.999852999,2796
1788753376.999852767,2648
1788753377.999853888,2556
1788753378.999853012,2648
1788753379.999853024,2908
1788753380.999853185,2611
1788753381.999852938,2518
1788753382.999853783,2556
1788753383.999852851,2611
1788753384.999852900,2611
1788753385.999852820,2648
1788753386.999852795,2537
1788753387.999852789,2648
1788753388.999852838,2500
1788753389.999852906,2630
1788753390.999852863,2963
1788753391.999852727,2704
1788753392.999852795,2574
1788753393.999852898,2611
1788753394.999852926,2648
1788753395.999852916,2649
1788753396.999852814,2574
1788753397.999852806,2574
1788753398.999853430,2778
1788753399.999853349,2778
1788753400.999853251,2777
1788753401.999853022,2796
1788753402.999853386,3093
1788753403.999852954,2759
1788753404.999853189,2888
1788753405.999853145,2611
1788753406.999852935,2686
1788753407.999853170,2833
1788753408.999852904,2611
1788753409.999852972,2593
1788753410.999852873,2686
1788753411.999852645,2537
1788753412.999852972,2741
1788753413.999852744,2685
1788753414.999853182,2703
1788753415.999852935,2611
1788753416.999853003,2592
1788753417.999852941,2833
1788753418.999853194,2518
1788753419.999852873,2666
1788753420.999852996,2852
1788753421.999853155,2704
1788753422.999853090,2556
1788753423.999853155,2648
1788753424.999853127,2666
1788753425.999852858,2778
1788753426.999853015,2648
1788753427.999852858,2629
1788753428.999852941,2648
1788753429.999852950,2796
1788753430.999852885,2722
1788753431.999852783,2629
1788753432.999852773,2500
1788753433.999852950,2760
1788753434.999853074,2944
1788753435.999852957,2907
1788753436.999852802,2778
1788753437.999853166,2871
1788753438.999852901,2703
1788753439.999853154,2778
1788753440.999852925,2611
1788753441.999852882,2630
1788753442.999852691,2518
1788753443.999853166,3037
1788753444.999852937,2741
1788753445.999853487,2926
1788753446.999853092,2722
1788753447.999853696,3297
1788753448.999853227,2852
1788753449.999852980,2834
1788753450.999853011,2926
1788753451.999852986,2760
1788753452.999853017,2759
1788753453.999852900,2703
1788753454.999852819,2612
1788753455.999853091,2741
1788753456.999852770,2722
1788753457.999852801,2648
1788753458.999852869,2648
1788753459.999852881,2759
1788753460.999852689,2908
1788753461.999853165,2685
1788753462.999853010,2741
1788753463.999853078,2741
1788753464.999852924,2518
1788753465.999853066,2666
1788753466.999852689,2704
1788753467.999852998,2703
1788753468.999852936,2889
1788753469.999852911,2796
1788753470.999852960,2741
1788753471.999852954,2778
1788753472.999853003,2741
1788753473.999852905,2685
1788753474.999852898,2686
1788753475.999852911,2611
1788753476.999852830,2630
1788753477.999852843,2574
1788753478.999852836,2556
1788753479.999853126,2612
1788753480.999853176,2833
1788753481.999853130,2722
1788753482.999852895,2629
1788753483.999852979,2741
1788753484.999853047,2611
1788753485.999852985,2649
1788753486.999852868,2593
1788753487.999853047,2778
1788753488.999852856,2611
1788753489.999853404,2648
1788753490.999853005,2704
1788753491.999853607,2759
1788753492.999853171,2667
1788753493.999852940,2648
1788753494.999852856,2648
1788753495.999852958,2963
1788753496.999852930,2778
1788753497.999852977,2871
1788753498.999852712,2870
1788753499.999854817,3444
1788753500.999853588,3111
1788753501.999853766,2815
1788753502.999853071,2945
1788753503.999853340,2777
1788753504.999853071,2815
1788753505.999853267,3018
1788753506.999853390,2796
1788753507.999853143,2852
1788753508.999853026,2666
1788753509.999853816,3203
1788753510.999853291,3074
1788753511.999853692,2963
1788753512.999852962,2963
1788753513.999853234,2852
1788753514.999852864,2611
1788753515.999852878,2611
1788753516.999852890,2648
1788753517.999852847,2629
1788753518.999853007,2593
1788753519.999853130,2630
1788753520.999853032,2648
1788753521.999852971,2482
1788753522.999853172,2574
1788753523.999852872,2500
