sec,loop_ticks,write_ticks
1788821913,471,50
1788821914,498,65
1788821915,539,68
1788821916,397,61
1788821917,463,49
1788821918,340,38
1788821919,321,14
1788821920,368,48
1788821921,518,68
1788821922,401,47
1788821923,365,43
1788821924,327,17
1788821925,332,35
1788821926,334,35
1788821927,309,10
1788821928,305,5
1788821929,316,16
1788821930,314,9
1788821931,325,21
1788821932,308,9
1788821933,310,10
1788821934,312,13
1788821935,303,4
1788821936,302,2
1788821937,314,8
1788821938,315,6
1788821939,310,9
1788821940,314,11
1788821941,309,10
1788821942,327,20
1788821943,309,5
1788821944,432,50
1788821945,359,39
1788821946,335,31
1788821947,316,14
1788821948,350,45
1788821949,424,61
1788821950,430,63
1788821951,374,37
1788821952,139,50
1788821953,101,18
1788821954,157,46
1788821955,124,35
1788821956,145,58
1788821957,101,15
1788821958,145,46
1788821959,124,37
1788821960,106,25
1788821961,108,31
1788821962,101,13
1788821963,145,58
1788821964,168,60
1788821965,116,30
1788821966,107,22
1788821967,136,43
1788821968,108,20
1788821969,93,8
1788821970,93,6
1788821971,91,4
1788821972,93,6
1788821973,104,17
1788821974,96,10
1788821975,161,55
1788821976,109,28
1788821977,91,5
1788821978,93,7
1788821979,91,4
1788821980,93,6
1788821981,90,4
1788821982,106,19
1788821983,97,12
1788821984,92,6
1788821985,92,6
1788821986,92,5
1788821987,90,3
1788821988,90,10
1788821989,92,5
1788821990,96,9
1788821991,90,7
1788821992,94,3
1788821993,114,27
1788821994,103,8
1788821995,90,5
1788821996,91,5
1788821997,101,15
1788821998,95,9
1788821999,95,8
1788822000,92,6
1788822001,106,7
1788822002,97,10
1788822003,95,8
1788822004,97,6
1788822005,95,8
1788822006,96,9
1788822007,90,3
1788822008,90,3
1788822009,91,3
1788822010,89,3
1788822011,199,57
1788822012,113,27
1788822013,103,16
1788822014,105,17
1788822015,102,15
1788822016,92,6
1788822017,92,6
1788822018,92,5
1788822019,94,8
1788822020,92,4
1788822021,92,5
1788822022,101,11
1788822023,93,7
1788822024,97,7
1788822025,97,10
1788822026,91,4
1788822027,94,7
1788822028,93,6
1788822029,100,6
1788822030,214,55
1788822031,160,49
1788822032,97,10
1788822033,115,28
1788822034,105,19
1788822035,116,29
1788822036,100,13
1788822037,118,27
1788822038,102,15
1788822039,99,13
1788822040,94,8
1788822041,179,59
1788822042,114,28
1788822043,97,11
1788822044,129,36
1788822045,98,12
1788822046,91,5
1788822047,95,8
1788822048,96,4
1788822049,96,9
1788822050,99,13
1788822051,92,5
1788822052,95,9
1788822053,99,12
1788822054,96,5
1788822055,92,5
1788822056,95,10
1788822057,93,6
1788822058,99,13
1788822059,94,6
1788822060,97,10
1788822061,99,7
1788822062,101,15
1788822063,91,5
1788822064,95,9
1788822065,88,4
1788822066,89,4
1788822067,93,8
1788822068,92,6
1788822069,94,6
1788822070,98,12
1788822071,97,11
1788822072,90,4
1788822073,92,7
1788822074,97,11
1788822075,93,7
1788822076,89,7
1788822077,93,7
1788822078,101,15
1788822079,89,3
1788822080,96,10
1788822081,95,9
1788822082,90,4
1788822083,90,5
1788822084,90,3
1788822085,90,4
1788822086,96,10
1788822087,94,4
1788822088,89,3
1788822089,91,5
1788822090,94,7
1788822091,99,6
1788822092,91,5
1788822093,90,5
1788822094,101,13
1788822095,121,34
1788822096,97,10
1788822097,94,7
1788822098,97,6
1788822099,89,8
1788822100,94,4
1788822101,92,6
1788822102,95,9
1788822103,98,10
1788822104,94,5
1788822105,91,4
1788822106,94,7
1788822107,95,9
1788822108,96,8
1788822109,94,7
1788822110,96,17
1788822111,92,6
1788822112,89,3
1788822113,93,7
1788822114,110,10
1788822115,93,5
1788822116,91,4
1788822117,89,3
1788822118,97,10
1788822119,92,6
1788822120,96,8
1788822121,95,9
1788822122,94,8
1788822123,93,6
1788822124,92,5
1788822125,89,3
1788822126,99,12
1788822127,93,7
1788822128,97,10
1788822129,97,9
1788822130,92,5
1788822131,101,16
1788822132,97,5
1788822133,89,3
1788822134,101,14
1788822135,96,10
1788822136,91,4
1788822137,90,4
1788822138,92,6
1788822139,91,5
1788822140,94,7
1788822141,92,6
1788822142,97,9
1788822143,92,5
1788822144,91,5
1788822145,94,6
1788822146,94,6
1788822147,99,7
1788822148,97,5
1788822149,90,4
1788822150,94,8
1788822151,93,8
1788822152,90,4
1788822153,91,5
1788822154,95,9
1788822155,91,4
1788822156,91,6
1788822157,93,7
1788822158,94,7
1788822159,91,5
1788822160,93,5
1788822161,96,4
1788822162,92,5
1788822163,92,6
1788822164,91,5
1788822165,90,4
1788822166,96,10
1788822167,92,6
1788822168,94,6
1788822169,91,6
1788822170,92,5
1788822171,91,5
1788822172,97,6
1788822173,95,9
1788822174,96,10
1788822175,97,6
1788822176,95,9
1788822177,93,7
1788822178,93,7
1788822179,94,8
1788822180,98,12
1788822181,93,7
1788822182,94,8
1788822183,91,6
1788822184,96,9
1788822185,91,4
1788822186,95,4
1788822187,95,5
1788822188,90,4
1788822189,90,3
1788822190,96,9
1788822191,97,10
1788822192,99,11
1788822193,101,10
1788822194,95,9
1788822195,97,7
1788822196,93,6
1788822197,90,4
1788822198,95,9
1788822199,94,8
1788822200,93,6
1788822201,99,7
1788822202,91,4
1788822203,92,5
1788822204,91,4
1788822205,90,5
1788822206,96,9
1788822207,101,11
1788822208,91,5
1788822209,91,4
1788822210,96,9
1788822211,90,4
1788822212,103,17
1788822213,101,13
1788822214,98,12
1788822215,97,9
1788822216,101,14
1788822217,97,9
1788822218,93,7
1788822219,93,6
1788822220,94,8
1788822221,90,4
1788822222,95,8
1788822223,114,26
1788822224,99,6
1788822225,92,5
1788822226,90,3
1788822227,89,3
1788822228,98,9
1788822229,91,5
1788822230,95,9
1788822231,102,8
1788822232,93,6
1788822233,89,3
1788822234,96,9
1788822235,97,9
1788822236,92,7
1788822237,89,3
1788822238,98,8
1788822239,100,10
1788822240,93,5
1788822241,91,4
1788822242,99,9
1788822243,92,7
1788822244,95,9
1788822245,91,7
1788822246,93,8
1788822247,92,6
1788822248,93,6
1788822249,87,5
1788822250,95,8
1788822251,106,15
1788822252,93,7
1788822253,95,4
1788822254,100,12
1788822255,103,9
1788822256,91,5
1788822257,126,30
1788822258,95,7
1788822259,97,13
1788822260,90,5
1788822261,100,8
1788822262,97,11
1788822263,94,7
1788822264,92,6
1788822265,91,5
1788822266,94,7
1788822267,93,7
1788822268,98,11
1788822269,93,7
1788822270,96,9
1788822271,93,6
1788822272,101,9
1788822273,93,7
1788822274,97,6
1788822275,92,6
1788822276,128,31
1788822277,94,8
1788822278,93,6
1788822279,92,6
1788822280,95,15
1788822281,101,8
1788822282,93,6
1788822283,128,41
1788822284,97,6
1788822285,94,6
1788822286,96,9
1788822287,93,5
1788822288,93,7
1788822289,93,4
1788822290,92,5
1788822291,93,6
1788822292,92,5
1788822293,91,5
1788822294,94,7
1788822295,93,7
1788822296,94,6
1788822297,91,5
1788822298,91,5
1788822299,94,8
1788822300,108,21
1788822301,98,6
1788822302,102,12
1788822303,90,4
1788822304,98,11
1788822305,96,10
1788822306,90,4
1788822307,90,5
1788822308,92,6
1788822309,90,4
1788822310,97,10
1788822311,102,16
1788822312,93,7
1788822313,91,5
1788822314,93,6
1788822315,92,6
1788822316,95,6
1788822317,90,4
1788822318,95,9
1788822319,94,8
1788822320,91,4
1788822321,95,8
1788822322,92,5
1788822323,92,6
1788822324,92,6
1788822325,93,7
1788822326,95,9
1788822327,95,8
1788822328,107,4
1788822329,90,4
1788822330,95,9
1788822331,94,8
1788822332,95,8
1788822333,93,6
1788822334,95,8
1788822335,95,7
1788822336,91,5
1788822337,92,4
1788822338,96,8
1788822339,91,4
1788822340,90,3
1788822341,90,4
1788822342,96,10
1788822343,93,8
1788822344,95,8
1788822345,97,7
1788822346,90,3
1788822347,90,4
1788822348,94,5
1788822349,97,10
1788822350,107,12
1788822351,94,9
1788822352,95,8
1788822353,97,6
1788822354,126,32
1788822355,115,28
1788822356,114,27
1788822357,99,12
1788822358,94,6
1788822359,89,6
1788822360,92,6
1788822361,91,4
1788822362,105,17
1788822363,94,7
1788822364,95,9
1788822365,96,7
1788822366,91,5
1788822367,94,7
1788822368,90,5
1788822369,95,4
1788822370,99,13
1788822371,124,37
1788822372,92,5
1788822373,89,3
1788822374,89,3
1788822375,93,3
1788822376,105,14
1788822377,116,4
1788822378,93,7
1788822379,90,5
1788822380,91,4
1788822381,98,7
1788822382,103,17
1788822383,104,12
1788822384,106,14
1788822385,98,12
1788822386,94,8
1788822387,96,10
1788822388,96,10
1788822389,95,8
1788822390,95,9
1788822391,102,11
1788822392,92,6
1788822393,91,5
1788822394,96,10
1788822395,91,5
1788822396,92,6
1788822397,91,4
1788822398,91,5
1788822399,90,4
1788822400,91,4
1788822401,92,5
1788822402,91,5
1788822403,91,5
1788822404,94,14
1788822405,128,35
1788822406,98,10
1788822407,92,5
1788822408,96,5
1788822409,90,4
1788822410,94,7
1788822411,90,4
1788822412,91,5
1788822413,90,4
1788822414,91,5
1788822415,92,5
1788822416,93,5
1788822417,90,4
1788822418,99,6
1788822419,87,4
1788822420,94,5
1788822421,96,4
1788822422,99,8
1788822423,91,4
1788822424,94,8
1788822425,94,7
1788822426,94,9
1788822427,95,7
1788822428,93,7
1788822429,96,9
1788822430,92,6
1788822431,90,4
1788822432,92,5
1788822433,91,4
1788822434,95,9
1788822435,92,4
1788822436,89,3
1788822437,95,9
1788822438,90,4
1788822439,97,10
1788822440,91,5
1788822441,90,4
1788822442,95,5
1788822443,92,6
1788822444,94,8
1788822445,91,5
1788822446,98,11
1788822447,93,7
1788822448,93,6
1788822449,93,7
1788822450,109,23
1788822451,99,13
1788822452,102,14
1788822453,103,16
1788822454,95,7
1788822455,93,7
1788822456,94,7
1788822457,113,16
1788822458,102,16
1788822459,111,25
1788822460,106,13
1788822461,96,10
1788822462,103,16
1788822463,94,9
1788822464,95,7
1788822465,93,6
1788822466,95,8
1788822467,97,11
1788822468,97,10
1788822469,95,9
1788822470,95,10
1788822471,98,11
1788822472,97,10
1788822473,96,9
1788822474,98,11
1788822475,95,8
1788822476,97,10
1788822477,96,9
1788822478,100,8
1788822479,94,8
1788822480,99,7
1788822481,98,11
1788822482,96,9
1788822483,94,8
1788822484,122,36
1788822485,98,12
1788822486,95,9
1788822487,98,11
1788822488,94,8
1788822489,95,9
1788822490,94,7
1788822491,103,17
1788822492,120,33
1788822493,102,15
1788822494,96,9
1788822495,97,11
1788822496,97,10
1788822497,94,8
1788822498,94,8
1788822499,95,8
1788822500,93,7
1788822501,93,7
1788822502,94,8
1788822503,93,7
1788822504,94,8
1788822505,94,7
1788822506,95,8
1788822507,98,8
1788822508,97,5
1788822509,92,5
1788822510,96,8
1788822511,102,11
1788822512,96,9
1788822513,98,10
1788822514,95,8
1788822515,95,8
1788822516,97,10
1788822517,95,9
1788822518,95,8
1788822519,105,17
1788822520,109,18
1788822521,93,6
1788822522,95,8
1788822523,100,11
1788822524,104,18
1788822525,96,14
1788822526,95,8
1788822527,95,8
1788822528,93,6
1788822529,93,6
1788822530,105,17
1788822531,100,13
1788822532,94,8
1788822533,96,10
1788822534,102,16
1788822535,104,16
1788822536,110,17
1788822537,115,29
1788822538,99,10
1788822539,96,8
1788822540,94,7
