# tic-pair run 2, 2026-09-08 19:23-19:33 PDT: .18 entry pulse (GPIO23, rp1_pps_debug_gpio=23, emitted AFTER the PCIe INTS read) -> .17 GPIO22 (runtime pps-gpio overlay, pps@16)
# .17 use_early=0 for the run (both instances leaf-stamped; delta17=0), interval = debug_leaf - gps_leaf on .17's clock, ns
# run 1 (use_early=1) was void: the second pps-gpio instance adopted the GPS pulse's entry stamp (guard accepts <50 us) -> every interval = -990
tic-pair: n=60 median 3352 mean 3388 robust 248 p99|dev| 389 min 2981 max 3833 ns
tic-pair: n=120 median 3371 mean 3418 robust 246 p99|dev| 592 min 2944 max 4944 ns
tic-pair: n=180 median 3408 mean 3437 robust 246 p99|dev| 573 min 2944 max 4944 ns
tic-pair: n=240 median 3408 mean 3431 robust 234 p99|dev| 573 min 2944 max 4944 ns
tic-pair: n=300 median 3407 mean 3424 robust 221 p99|dev| 574 min 2944 max 4944 ns
tic-pair: n=360 median 3389 mean 3411 robust 246 p99|dev| 592 min 2908 max 4944 ns
tic-pair: n=420 median 3389 mean 3416 robust 246 p99|dev| 574 min 2908 max 4944 ns
tic-pair: n=480 median 3389 mean 3414 robust 246 p99|dev| 592 min 2870 max 4944 ns
tic-pair: n=540 median 3389 mean 3408 robust 246 p99|dev| 574 min 2834 max 4944 ns
tic-pair: n=600 median 3388 mean 3398 robust 246 p99|dev| 593 min 2815 max 4944 ns
# final: n=601 median 3388 mean 3399 robust 246 p10 3111 p90 3703 min 2815 max 4944 ns
# CSV gps_sec,interval_ns follows
1788920575,3537
1788920576,3481
1788920577,3333
1788920578,3186
1788920579,3055
1788920580,3185
1788920581,3334
1788920582,3630
1788920583,3704
1788920584,3167
1788920585,3408
1788920586,3333
1788920587,3556
1788920588,3667
1788920589,3296
1788920590,3408
1788920591,3278
1788920592,3296
1788920593,3018
1788920594,3593
1788920595,3426
1788920596,3630
1788920597,3112
1788920598,3167
1788920599,3259
1788920600,3241
1788920601,2981
1788920602,3352
1788920603,3148
1788920604,3389
1788920605,3648
1788920606,3186
1788920607,3648
1788920608,3463
1788920609,3333
1788920610,3592
1788920611,3519
1788920612,3518
1788920613,3703
1788920614,3352
1788920615,3537
1788920616,3741
1788920617,3222
1788920618,3351
1788920619,3593
1788920620,3444
1788920621,3518
1788920622,3129
1788920623,3833
1788920624,3685
1788920625,3630
1788920626,2981
1788920627,3389
1788920628,3223
1788920629,3130
1788920630,3166
1788920631,3352
1788920632,3315
1788920633,3666
1788920634,3241
1788920635,3981
1788920636,3185
1788920637,3203
1788920638,3667
1788920639,3371
1788920640,3630
1788920641,3241
1788920642,3537
1788920643,3426
1788920644,3870
1788920645,3297
1788920646,3296
1788920647,3629
1788920648,3222
1788920649,3222
1788920650,3408
1788920651,3223
1788920652,3907
1788920653,3240
1788920654,3297
1788920655,3741
1788920656,3408
1788920657,3223
1788920658,3519
1788920659,3537
1788920660,3296
1788920661,3481
1788920662,3259
1788920663,3593
1788920664,3148
1788920665,3074
1788920666,3592
1788920667,3296
1788920668,3555
1788920669,3500
1788920670,3260
