# tic-pair runs 3 and 4, 2026-09-08 20:35-20:58 PDT, v3 kernel (pulse at handler ENTRY, before the PCIe read, on every bank-0 IRQ)
# run 3 (20:35-20:45): 6 samples only -- the tool's blocking fetch skipped the PPS pulse because the warm-edge pulse 150 us earlier
#   woke it first; the 6 were warm pulses paired late (-144 us). Tool fixed: settle 0.5 ms, take the newest event, 50 us window.
# run 4 (20:48-20:58), .17 use_early=0, delta17=0: interval = debug_leaf - gps_leaf on .17's clock, ns
tic-pair: n=60 median 2463 mean 2469 robust 110 p99|dev| 408 min 2074 max 2888 ns
tic-pair: n=120 median 2463 mean 2488 robust 110 p99|dev| 408 min 2074 max 3000 ns
tic-pair: n=180 median 2445 mean 2491 robust 111 p99|dev| 443 min 2074 max 4315 ns
tic-pair: n=240 median 2445 mean 2484 robust 111 p99|dev| 443 min 1981 max 4315 ns
tic-pair: n=300 median 2444 mean 2480 robust 136 p99|dev| 519 min 1981 max 4315 ns
tic-pair: n=360 median 2444 mean 2475 robust 136 p99|dev| 519 min 1981 max 4315 ns
tic-pair: n=420 median 2426 mean 2463 robust 124 p99|dev| 462 min 1981 max 4315 ns
tic-pair: n=480 median 2444 mean 2467 robust 136 p99|dev| 482 min 1981 max 4315 ns
tic-pair: n=540 median 2444 mean 2468 robust 136 p99|dev| 482 min 1981 max 4315 ns
# final: n=597 median 2444 mean 2474 robust 136 p10 2314 p90 2685 min 1963 max 4315 ns
# warmer loop (drive->entry, same posted-write flight + entry) on .18 at the time: mean 2222 ns (n=1467 since boot)
# => entry delay = 2.22 - ~0.5 (posted write one-way, half the 0.99 us read RTT) ~= 1.7 us (loop) / 1.9 us (pairing, incl. Pi 4 instance asymmetry); DELIVERY_NS set to 1800
# CSV gps_sec,interval_ns
1788925697,2444
1788925698,2833
1788925699,2314
1788925700,2500
1788925701,2352
1788925702,2518
1788925703,2370
1788925704,2482
1788925705,2444
1788925706,2352
1788925707,2334
1788925708,2518
1788925709,2648
1788925710,2500
1788925711,2296
1788925712,2871
1788925713,2352
1788925714,2426
1788925715,2389
1788925716,2407
1788925717,2334
1788925718,2537
1788925719,2389
1788925720,2500
1788925721,2463
1788925722,2315
1788925723,2667
1788925724,2278
1788925725,2426
1788925726,2648
1788925727,2407
1788925728,2500
1788925729,2389
1788925730,2500
1788925732,2555
1788925733,2574
1788925734,2888
1788925735,2426
1788925736,2518
1788925737,2704
1788925738,2444
1788925739,2537
1788925740,2537
1788925741,2389
1788925742,2537
1788925743,2074
1788925744,2482
1788925745,2463
1788925746,2463
1788925747,2426
1788925748,2815
1788925749,2278
1788925750,2426
1788925751,2648
1788925752,2463
1788925753,2334
1788925754,2538
1788925755,2500
1788925756,2370
1788925757,2075
1788925758,2649
1788925759,2741
1788925760,2555
1788925761,2426
1788925762,2814
1788925763,2426
1788925764,2537
1788925765,2685
1788925766,2518
1788925767,2370
1788925768,2315
1788925769,2278
1788925770,2519
1788925771,2445
1788925772,2500
1788925773,2796
1788925774,2500
1788925775,2371
1788925776,2778
1788925777,2444
1788925778,2371
1788925779,2370
1788925780,2389
1788925781,2370
1788925782,2426
1788925783,2426
1788925784,2389
1788925785,2296
1788925786,2463
1788925787,2796
1788925788,2537
1788925789,2426
1788925790,3000
1788925791,2315
1788925792,2500
1788925793,2425
1788925794,2519
1788925795,2482
1788925796,2630
1788925797,2371
1788925798,2797
1788925799,2518
1788925800,2444
1788925801,2667
1788925802,2574
1788925803,2407
1788925804,2648
1788925805,2426
1788925806,2593
1788925807,2389
1788925808,2371
1788925809,2407
1788925810,2518
1788925811,2370
1788925812,2686
1788925813,2463
1788925814,2408
1788925815,2685
1788925816,2370
1788925817,2426
1788925818,2426
1788925819,4315
1788925820,2648
1788925821,2185
1788925822,2741
1788925823,2722
1788925824,2408
1788925825,2500
1788925826,2722
1788925827,2333
1788925828,2407
1788925829,2778
1788925830,2555
1788925831,2351
1788925832,2351
1788925833,2315
1788925834,2555
1788925835,2112
1788925836,2407
1788925837,2333
1788925838,2556
1788925839,2297
1788925840,2833
1788925841,2333
1788925842,2445
1788925843,2704
1788925844,2500
1788925845,2315
1788925846,2426
1788925847,2426
1788925848,2426
1788925849,2482
1788925850,2593
1788925851,2351
1788925852,2481
1788925853,2389
1788925854,2815
1788925855,2204
1788925856,2352
1788925857,2445
1788925858,2389
1788925859,2407
1788925860,2519
1788925861,2351
1788925862,2444
1788925863,2481
1788925864,2630
1788925865,2815
1788925866,2463
1788925867,2352
1788925868,2611
1788925869,2426
1788925870,2296
1788925871,2481
1788925872,2445
1788925873,2370
1788925874,2407
1788925875,2389
1788925876,2574
1788925877,2500
1788925878,2482
1788925879,2814
1788925880,2555
1788925881,2426
1788925882,2463
1788925883,2352
1788925884,2537
1788925885,2426
1788925886,2519
1788925887,2463
1788925888,2426
1788925889,2371
1788925890,2704
1788925891,2370
1788925892,2482
1788925893,2760
1788925894,2519
1788925895,2426
1788925896,2537
1788925897,2315
1788925898,2463
1788925899,2092
1788925900,2574
1788925901,2334
1788925902,2463
1788925903,2389
1788925904,2759
1788925905,2333
1788925906,2537
1788925907,2518
1788925908,2556
1788925909,2333
1788925910,2667
1788925911,2408
1788925912,2407
1788925913,1981
1788925914,2482
1788925915,2370
1788925916,2426
1788925917,2351
1788925918,2686
1788925919,2315
1788925920,2463
1788925921,2667
1788925922,2556
1788925923,2371
1788925924,2463
1788925925,2297
1788925926,2482
1788925927,2037
1788925928,2629
1788925929,2685
1788925930,2649
1788925931,2370
1788925932,2666
1788925933,2296
1788925934,2352
1788925935,2426
1788925936,2574
1788925937,2426
1788925938,2166
1788925939,2408
1788925940,2648
1788925941,2352
1788925942,2555
1788925943,2722
1788925944,2426
1788925945,2426
1788925946,2981
1788925947,2278
1788925948,2463
1788925949,2260
1788925950,2444
1788925951,2352
1788925952,2537
1788925953,2426
1788925954,2463
1788925955,2389
1788925956,2519
1788925957,2593
1788925958,2426
1788925959,2426
1788925960,2834
1788925961,2333
1788925962,2351
1788925963,2519
1788925964,2444
1788925965,2296
1788925966,2371
1788925967,2463
1788925968,2963
1788925969,2537
1788925970,2778
1788925971,2629
1788925972,2352
1788925973,2315
1788925974,2741
1788925975,2334
1788925977,2056
1788925978,2407
1788925979,2314
1788925980,2389
1788925981,2351
1788925982,2648
1788925983,2370
1788925984,2481
1788925985,2685
1788925986,2389
1788925987,2296
1788925988,2482
1788925989,2371
1788925990,2389
1788925991,2093
1788925992,2444
1788925993,2315
1788925994,2648
1788925995,2352
1788925996,2777
1788925998,2444
1788925999,2555
1788926000,2518
1788926001,2297
1788926002,2408
1788926003,2334
1788926004,2426
1788926005,2334
1788926006,2482
1788926007,2259
1788926008,2463
1788926009,2185
1788926010,2777
1788926011,2407
1788926012,2500
1788926013,2556
1788926014,2630
1788926015,2407
1788926016,2389
1788926017,2296
1788926018,2463
1788926019,2407
1788926020,2611
1788926021,2667
1788926022,2426
1788926023,2389
1788926024,2796
1788926025,2444
1788926026,2612
1788926027,2426
1788926028,2537
1788926029,2426
1788926030,2481
1788926031,2445
1788926032,2482
1788926033,2185
1788926034,2370
1788926035,2797
1788926036,2444
1788926037,2389
1788926038,2963
1788926039,2426
1788926040,2667
1788926041,2519
1788926042,2611
1788926043,2296
1788926044,2352
1788926045,2166
1788926046,2593
1788926047,2370
1788926048,2296
1788926049,2592
1788926050,2500
1788926051,2278
1788926052,2426
1788926053,2315
1788926054,2445
1788926055,2333
1788926056,2370
1788926057,2296
1788926058,2333
1788926059,2370
1788926060,2500
1788926061,2352
1788926062,2407
1788926063,2593
1788926064,2500
1788926065,2204
1788926066,2481
1788926067,2333
