trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788042866.000000321, sequence: 10133 - clear  0.000000000, sequence: 0
source 0 - assert 1788042867.000000340, sequence: 10134 - clear  0.000000000, sequence: 0
source 0 - assert 1788042867.999999711, sequence: 10135 - clear  0.000000000, sequence: 0
source 0 - assert 1788042868.999999766, sequence: 10136 - clear  0.000000000, sequence: 0
source 0 - assert 1788042870.000000039, sequence: 10137 - clear  0.000000000, sequence: 0
source 0 - assert 1788042870.999999800, sequence: 10138 - clear  0.000000000, sequence: 0
source 0 - assert 1788042871.999999745, sequence: 10139 - clear  0.000000000, sequence: 0
source 0 - assert 1788042872.999999727, sequence: 10140 - clear  0.000000000, sequence: 0
source 0 - assert 1788042873.999999712, sequence: 10141 - clear  0.000000000, sequence: 0
source 0 - assert 1788042874.999999944, sequence: 10142 - clear  0.000000000, sequence: 0
source 0 - assert 1788042875.999999640, sequence: 10143 - clear  0.000000000, sequence: 0
source 0 - assert 1788042877.000000149, sequence: 10144 - clear  0.000000000, sequence: 0
source 0 - assert 1788042877.999999697, sequence: 10145 - clear  0.000000000, sequence: 0
source 0 - assert 1788042878.999999838, sequence: 10146 - clear  0.000000000, sequence: 0
source 0 - assert 1788042879.999999794, sequence: 10147 - clear  0.000000000, sequence: 0
source 0 - assert 1788042881.000000491, sequence: 10148 - clear  0.000000000, sequence: 0
source 0 - assert 1788042882.000000064, sequence: 10149 - clear  0.000000000, sequence: 0
source 0 - assert 1788042883.000000334, sequence: 10150 - clear  0.000000000, sequence: 0
source 0 - assert 1788042884.000000679, sequence: 10151 - clear  0.000000000, sequence: 0
source 0 - assert 1788042885.000000402, sequence: 10152 - clear  0.000000000, sequence: 0
source 0 - assert 1788042886.000000385, sequence: 10153 - clear  0.000000000, sequence: 0
source 0 - assert 1788042887.000000329, sequence: 10154 - clear  0.000000000, sequence: 0
source 0 - assert 1788042888.000000125, sequence: 10155 - clear  0.000000000, sequence: 0
source 0 - assert 1788042889.000000144, sequence: 10156 - clear  0.000000000, sequence: 0
source 0 - assert 1788042890.000000082, sequence: 10157 - clear  0.000000000, sequence: 0
source 0 - assert 1788042891.000000617, sequence: 10158 - clear  0.000000000, sequence: 0
source 0 - assert 1788042892.000000096, sequence: 10159 - clear  0.000000000, sequence: 0
source 0 - assert 1788042893.000000131, sequence: 10160 - clear  0.000000000, sequence: 0
source 0 - assert 1788042893.999999953, sequence: 10161 - clear  0.000000000, sequence: 0
source 0 - assert 1788042895.000000284, sequence: 10162 - clear  0.000000000, sequence: 0
source 0 - assert 1788042895.999999819, sequence: 10163 - clear  0.000000000, sequence: 0
source 0 - assert 1788042897.000000021, sequence: 10164 - clear  0.000000000, sequence: 0
source 0 - assert 1788042898.000000227, sequence: 10165 - clear  0.000000000, sequence: 0
source 0 - assert 1788042898.999999929, sequence: 10166 - clear  0.000000000, sequence: 0
source 0 - assert 1788042899.999999871, sequence: 10167 - clear  0.000000000, sequence: 0
source 0 - assert 1788042900.999999888, sequence: 10168 - clear  0.000000000, sequence: 0
source 0 - assert 1788042902.000000498, sequence: 10169 - clear  0.000000000, sequence: 0
source 0 - assert 1788042902.999999796, sequence: 10170 - clear  0.000000000, sequence: 0
source 0 - assert 1788042903.999999853, sequence: 10171 - clear  0.000000000, sequence: 0
source 0 - assert 1788042905.000000522, sequence: 10172 - clear  0.000000000, sequence: 0
source 0 - assert 1788042905.999999984, sequence: 10173 - clear  0.000000000, sequence: 0
source 0 - assert 1788042906.999999866, sequence: 10174 - clear  0.000000000, sequence: 0
source 0 - assert 1788042907.999999859, sequence: 10175 - clear  0.000000000, sequence: 0
source 0 - assert 1788042909.000000222, sequence: 10176 - clear  0.000000000, sequence: 0
source 0 - assert 1788042909.999999864, sequence: 10177 - clear  0.000000000, sequence: 0
source 0 - assert 1788042910.999999806, sequence: 10178 - clear  0.000000000, sequence: 0
source 0 - assert 1788042911.999999860, sequence: 10179 - clear  0.000000000, sequence: 0
source 0 - assert 1788042912.999999617, sequence: 10180 - clear  0.000000000, sequence: 0
source 0 - assert 1788042913.999999932, sequence: 10181 - clear  0.000000000, sequence: 0
source 0 - assert 1788042914.999999808, sequence: 10182 - clear  0.000000000, sequence: 0
source 0 - assert 1788042916.000000148, sequence: 10183 - clear  0.000000000, sequence: 0
source 0 - assert 1788042916.999999561, sequence: 10184 - clear  0.000000000, sequence: 0
source 0 - assert 1788042918.000000364, sequence: 10185 - clear  0.000000000, sequence: 0
source 0 - assert 1788042918.999999758, sequence: 10186 - clear  0.000000000, sequence: 0
source 0 - assert 1788042919.999999634, sequence: 10187 - clear  0.000000000, sequence: 0
source 0 - assert 1788042920.999999659, sequence: 10188 - clear  0.000000000, sequence: 0
source 0 - assert 1788042921.999999891, sequence: 10189 - clear  0.000000000, sequence: 0
source 0 - assert 1788042923.000000097, sequence: 10190 - clear  0.000000000, sequence: 0
source 0 - assert 1788042923.999999619, sequence: 10191 - clear  0.000000000, sequence: 0
source 0 - assert 1788042925.000000029, sequence: 10192 - clear  0.000000000, sequence: 0
source 0 - assert 1788042925.999999915, sequence: 10193 - clear  0.000000000, sequence: 0
source 0 - assert 1788042927.000000398, sequence: 10194 - clear  0.000000000, sequence: 0
source 0 - assert 1788042928.000000103, sequence: 10195 - clear  0.000000000, sequence: 0
source 0 - assert 1788042929.000000123, sequence: 10196 - clear  0.000000000, sequence: 0
source 0 - assert 1788042930.000000309, sequence: 10197 - clear  0.000000000, sequence: 0
source 0 - assert 1788042930.999999883, sequence: 10198 - clear  0.000000000, sequence: 0
source 0 - assert 1788042931.999999753, sequence: 10199 - clear  0.000000000, sequence: 0
source 0 - assert 1788042932.999999901, sequence: 10200 - clear  0.000000000, sequence: 0
source 0 - assert 1788042934.000000253, sequence: 10201 - clear  0.000000000, sequence: 0
source 0 - assert 1788042934.999999865, sequence: 10202 - clear  0.000000000, sequence: 0
source 0 - assert 1788042935.999999867, sequence: 10203 - clear  0.000000000, sequence: 0
source 0 - assert 1788042937.000000350, sequence: 10204 - clear  0.000000000, sequence: 0
source 0 - assert 1788042937.999999795, sequence: 10205 - clear  0.000000000, sequence: 0
source 0 - assert 1788042939.000000056, sequence: 10206 - clear  0.000000000, sequence: 0
source 0 - assert 1788042940.000000408, sequence: 10207 - clear  0.000000000, sequence: 0
source 0 - assert 1788042941.000000261, sequence: 10208 - clear  0.000000000, sequence: 0
source 0 - assert 1788042941.999999761, sequence: 10209 - clear  0.000000000, sequence: 0
source 0 - assert 1788042942.999999777, sequence: 10210 - clear  0.000000000, sequence: 0
source 0 - assert 1788042944.000000162, sequence: 10211 - clear  0.000000000, sequence: 0
source 0 - assert 1788042944.999999937, sequence: 10212 - clear  0.000000000, sequence: 0
source 0 - assert 1788042945.999999916, sequence: 10213 - clear  0.000000000, sequence: 0
source 0 - assert 1788042946.999999899, sequence: 10214 - clear  0.000000000, sequence: 0
source 0 - assert 1788042948.000000900, sequence: 10215 - clear  0.000000000, sequence: 0
source 0 - assert 1788042948.999999661, sequence: 10216 - clear  0.000000000, sequence: 0
source 0 - assert 1788042949.999999885, sequence: 10217 - clear  0.000000000, sequence: 0
source 0 - assert 1788042951.000000110, sequence: 10218 - clear  0.000000000, sequence: 0
source 0 - assert 1788042951.999999909, sequence: 10219 - clear  0.000000000, sequence: 0
source 0 - assert 1788042952.999999801, sequence: 10220 - clear  0.000000000, sequence: 0
source 0 - assert 1788042953.999999619, sequence: 10221 - clear  0.000000000, sequence: 0
source 0 - assert 1788042955.000000161, sequence: 10222 - clear  0.000000000, sequence: 0
source 0 - assert 1788042955.999999776, sequence: 10223 - clear  0.000000000, sequence: 0
source 0 - assert 1788042956.999999985, sequence: 10224 - clear  0.000000000, sequence: 0
source 0 - assert 1788042957.999999971, sequence: 10225 - clear  0.000000000, sequence: 0
source 0 - assert 1788042958.999999902, sequence: 10226 - clear  0.000000000, sequence: 0
source 0 - assert 1788042959.999999723, sequence: 10227 - clear  0.000000000, sequence: 0
source 0 - assert 1788042960.999999784, sequence: 10228 - clear  0.000000000, sequence: 0
