trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788045527.000000363, sequence: 2042 - clear  0.000000000, sequence: 0
source 0 - assert 1788045527.999999953, sequence: 2043 - clear  0.000000000, sequence: 0
source 0 - assert 1788045528.999999729, sequence: 2044 - clear  0.000000000, sequence: 0
source 0 - assert 1788045529.999999771, sequence: 2045 - clear  0.000000000, sequence: 0
source 0 - assert 1788045530.999999832, sequence: 2046 - clear  0.000000000, sequence: 0
source 0 - assert 1788045531.999999837, sequence: 2047 - clear  0.000000000, sequence: 0
source 0 - assert 1788045532.999999694, sequence: 2048 - clear  0.000000000, sequence: 0
source 0 - assert 1788045534.000000031, sequence: 2049 - clear  0.000000000, sequence: 0
source 0 - assert 1788045534.999999756, sequence: 2050 - clear  0.000000000, sequence: 0
source 0 - assert 1788045535.999999926, sequence: 2051 - clear  0.000000000, sequence: 0
source 0 - assert 1788045536.999999893, sequence: 2052 - clear  0.000000000, sequence: 0
source 0 - assert 1788045538.000000379, sequence: 2053 - clear  0.000000000, sequence: 0
source 0 - assert 1788045538.999999974, sequence: 2054 - clear  0.000000000, sequence: 0
source 0 - assert 1788045539.999999827, sequence: 2055 - clear  0.000000000, sequence: 0
source 0 - assert 1788045541.000000347, sequence: 2056 - clear  0.000000000, sequence: 0
source 0 - assert 1788045542.000000014, sequence: 2057 - clear  0.000000000, sequence: 0
source 0 - assert 1788045543.000000164, sequence: 2058 - clear  0.000000000, sequence: 0
source 0 - assert 1788045544.000000054, sequence: 2059 - clear  0.000000000, sequence: 0
source 0 - assert 1788045545.000000407, sequence: 2060 - clear  0.000000000, sequence: 0
source 0 - assert 1788045546.000000079, sequence: 2061 - clear  0.000000000, sequence: 0
source 0 - assert 1788045546.999999974, sequence: 2062 - clear  0.000000000, sequence: 0
source 0 - assert 1788045548.000000313, sequence: 2063 - clear  0.000000000, sequence: 0
source 0 - assert 1788045548.999999948, sequence: 2064 - clear  0.000000000, sequence: 0
source 0 - assert 1788045549.999999940, sequence: 2065 - clear  0.000000000, sequence: 0
source 0 - assert 1788045550.999999950, sequence: 2066 - clear  0.000000000, sequence: 0
source 0 - assert 1788045551.999999737, sequence: 2067 - clear  0.000000000, sequence: 0
source 0 - assert 1788045552.999999910, sequence: 2068 - clear  0.000000000, sequence: 0
source 0 - assert 1788045553.999999841, sequence: 2069 - clear  0.000000000, sequence: 0
source 0 - assert 1788045555.000000030, sequence: 2070 - clear  0.000000000, sequence: 0
source 0 - assert 1788045555.999999924, sequence: 2071 - clear  0.000000000, sequence: 0
source 0 - assert 1788045556.999999929, sequence: 2072 - clear  0.000000000, sequence: 0
source 0 - assert 1788045557.999999950, sequence: 2073 - clear  0.000000000, sequence: 0
source 0 - assert 1788045559.000000249, sequence: 2074 - clear  0.000000000, sequence: 0
source 0 - assert 1788045559.999999844, sequence: 2075 - clear  0.000000000, sequence: 0
