trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788043711.000000104, sequence: 226 - clear  0.000000000, sequence: 0
source 0 - assert 1788043711.999999883, sequence: 227 - clear  0.000000000, sequence: 0
source 0 - assert 1788043713.000000145, sequence: 228 - clear  0.000000000, sequence: 0
source 0 - assert 1788043713.999999888, sequence: 229 - clear  0.000000000, sequence: 0
source 0 - assert 1788043715.000000131, sequence: 230 - clear  0.000000000, sequence: 0
source 0 - assert 1788043715.999999893, sequence: 231 - clear  0.000000000, sequence: 0
source 0 - assert 1788043717.000000006, sequence: 232 - clear  0.000000000, sequence: 0
source 0 - assert 1788043717.999999878, sequence: 233 - clear  0.000000000, sequence: 0
source 0 - assert 1788043719.000000084, sequence: 234 - clear  0.000000000, sequence: 0
source 0 - assert 1788043719.999999918, sequence: 235 - clear  0.000000000, sequence: 0
source 0 - assert 1788043721.000000254, sequence: 236 - clear  0.000000000, sequence: 0
source 0 - assert 1788043721.999999904, sequence: 237 - clear  0.000000000, sequence: 0
source 0 - assert 1788043723.000000035, sequence: 238 - clear  0.000000000, sequence: 0
source 0 - assert 1788043723.999999870, sequence: 239 - clear  0.000000000, sequence: 0
source 0 - assert 1788043725.000000002, sequence: 240 - clear  0.000000000, sequence: 0
source 0 - assert 1788043725.999999893, sequence: 241 - clear  0.000000000, sequence: 0
source 0 - assert 1788043727.000000247, sequence: 242 - clear  0.000000000, sequence: 0
source 0 - assert 1788043727.999999897, sequence: 243 - clear  0.000000000, sequence: 0
source 0 - assert 1788043729.000000047, sequence: 244 - clear  0.000000000, sequence: 0
source 0 - assert 1788043729.999999902, sequence: 245 - clear  0.000000000, sequence: 0
source 0 - assert 1788043731.000000182, sequence: 246 - clear  0.000000000, sequence: 0
source 0 - assert 1788043731.999999888, sequence: 247 - clear  0.000000000, sequence: 0
source 0 - assert 1788043733.000000020, sequence: 248 - clear  0.000000000, sequence: 0
source 0 - assert 1788043733.999999911, sequence: 249 - clear  0.000000000, sequence: 0
source 0 - assert 1788043734.999999987, sequence: 250 - clear  0.000000000, sequence: 0
source 0 - assert 1788043735.999999841, sequence: 251 - clear  0.000000000, sequence: 0
source 0 - assert 1788043737.000000103, sequence: 252 - clear  0.000000000, sequence: 0
source 0 - assert 1788043737.999999883, sequence: 253 - clear  0.000000000, sequence: 0
source 0 - assert 1788043739.000000478, sequence: 254 - clear  0.000000000, sequence: 0
source 0 - assert 1788043739.999999870, sequence: 255 - clear  0.000000000, sequence: 0
source 0 - assert 1788043741.000000020, sequence: 256 - clear  0.000000000, sequence: 0
source 0 - assert 1788043741.999999985, sequence: 257 - clear  0.000000000, sequence: 0
source 0 - assert 1788043743.000000024, sequence: 258 - clear  0.000000000, sequence: 0
source 0 - assert 1788043743.999999877, sequence: 259 - clear  0.000000000, sequence: 0
source 0 - assert 1788043745.000000046, sequence: 260 - clear  0.000000000, sequence: 0
source 0 - assert 1788043745.999999918, sequence: 261 - clear  0.000000000, sequence: 0
source 0 - assert 1788043747.000000068, sequence: 262 - clear  0.000000000, sequence: 0
source 0 - assert 1788043747.999999884, sequence: 263 - clear  0.000000000, sequence: 0
source 0 - assert 1788043749.000000182, sequence: 264 - clear  0.000000000, sequence: 0
source 0 - assert 1788043749.999999851, sequence: 265 - clear  0.000000000, sequence: 0
source 0 - assert 1788043751.000000075, sequence: 266 - clear  0.000000000, sequence: 0
source 0 - assert 1788043751.999999854, sequence: 267 - clear  0.000000000, sequence: 0
source 0 - assert 1788043753.000000430, sequence: 268 - clear  0.000000000, sequence: 0
source 0 - assert 1788043753.999999876, sequence: 269 - clear  0.000000000, sequence: 0
source 0 - assert 1788043755.000000082, sequence: 270 - clear  0.000000000, sequence: 0
source 0 - assert 1788043755.999999843, sequence: 271 - clear  0.000000000, sequence: 0
source 0 - assert 1788043757.000000105, sequence: 272 - clear  0.000000000, sequence: 0
source 0 - assert 1788043757.999999903, sequence: 273 - clear  0.000000000, sequence: 0
source 0 - assert 1788043759.000000072, sequence: 274 - clear  0.000000000, sequence: 0
source 0 - assert 1788043759.999999888, sequence: 275 - clear  0.000000000, sequence: 0
source 0 - assert 1788043761.000000038, sequence: 276 - clear  0.000000000, sequence: 0
source 0 - assert 1788043761.999999855, sequence: 277 - clear  0.000000000, sequence: 0
source 0 - assert 1788043763.000000061, sequence: 278 - clear  0.000000000, sequence: 0
source 0 - assert 1788043763.999999914, sequence: 279 - clear  0.000000000, sequence: 0
source 0 - assert 1788043765.000000176, sequence: 280 - clear  0.000000000, sequence: 0
source 0 - assert 1788043765.999999900, sequence: 281 - clear  0.000000000, sequence: 0
source 0 - assert 1788043767.000000142, sequence: 282 - clear  0.000000000, sequence: 0
source 0 - assert 1788043767.999999941, sequence: 283 - clear  0.000000000, sequence: 0
source 0 - assert 1788043769.000000016, sequence: 284 - clear  0.000000000, sequence: 0
source 0 - assert 1788043769.999999925, sequence: 285 - clear  0.000000000, sequence: 0
source 0 - assert 1788043771.000000038, sequence: 286 - clear  0.000000000, sequence: 0
source 0 - assert 1788043771.999999947, sequence: 287 - clear  0.000000000, sequence: 0
source 0 - assert 1788043773.000000023, sequence: 288 - clear  0.000000000, sequence: 0
source 0 - assert 1788043773.999999895, sequence: 289 - clear  0.000000000, sequence: 0
source 0 - assert 1788043775.000000063, sequence: 290 - clear  0.000000000, sequence: 0
source 0 - assert 1788043775.999999879, sequence: 291 - clear  0.000000000, sequence: 0
source 0 - assert 1788043777.000000048, sequence: 292 - clear  0.000000000, sequence: 0
source 0 - assert 1788043777.999999883, sequence: 293 - clear  0.000000000, sequence: 0
source 0 - assert 1788043779.000000199, sequence: 294 - clear  0.000000000, sequence: 0
source 0 - assert 1788043779.999999924, sequence: 295 - clear  0.000000000, sequence: 0
source 0 - assert 1788043781.000000055, sequence: 296 - clear  0.000000000, sequence: 0
source 0 - assert 1788043781.999999853, sequence: 297 - clear  0.000000000, sequence: 0
source 0 - assert 1788043783.000000059, sequence: 298 - clear  0.000000000, sequence: 0
source 0 - assert 1788043783.999999894, sequence: 299 - clear  0.000000000, sequence: 0
source 0 - assert 1788043785.000000488, sequence: 300 - clear  0.000000000, sequence: 0
source 0 - assert 1788043785.999999898, sequence: 301 - clear  0.000000000, sequence: 0
source 0 - assert 1788043787.000000140, sequence: 302 - clear  0.000000000, sequence: 0
source 0 - assert 1788043787.999999883, sequence: 303 - clear  0.000000000, sequence: 0
source 0 - assert 1788043789.000000014, sequence: 304 - clear  0.000000000, sequence: 0
source 0 - assert 1788043789.999999886, sequence: 305 - clear  0.000000000, sequence: 0
source 0 - assert 1788043791.000000110, sequence: 306 - clear  0.000000000, sequence: 0
source 0 - assert 1788043791.999999927, sequence: 307 - clear  0.000000000, sequence: 0
source 0 - assert 1788043793.000000021, sequence: 308 - clear  0.000000000, sequence: 0
source 0 - assert 1788043794.000000004, sequence: 309 - clear  0.000000000, sequence: 0
source 0 - assert 1788043795.000000025, sequence: 310 - clear  0.000000000, sequence: 0
source 0 - assert 1788043795.999999878, sequence: 311 - clear  0.000000000, sequence: 0
source 0 - assert 1788043797.000000084, sequence: 312 - clear  0.000000000, sequence: 0
source 0 - assert 1788043797.999999937, sequence: 313 - clear  0.000000000, sequence: 0
source 0 - assert 1788043799.000000457, sequence: 314 - clear  0.000000000, sequence: 0
source 0 - assert 1788043799.999999941, sequence: 315 - clear  0.000000000, sequence: 0
source 0 - assert 1788043801.000000035, sequence: 316 - clear  0.000000000, sequence: 0
source 0 - assert 1788043801.999999925, sequence: 317 - clear  0.000000000, sequence: 0
source 0 - assert 1788043803.000000093, sequence: 318 - clear  0.000000000, sequence: 0
source 0 - assert 1788043803.999999873, sequence: 319 - clear  0.000000000, sequence: 0
source 0 - assert 1788043805.000000078, sequence: 320 - clear  0.000000000, sequence: 0
source 0 - assert 1788043806.000000228, sequence: 321 - clear  0.000000000, sequence: 0
source 0 - assert 1788043807.000000063, sequence: 322 - clear  0.000000000, sequence: 0
source 0 - assert 1788043807.999999916, sequence: 323 - clear  0.000000000, sequence: 0
source 0 - assert 1788043809.000000085, sequence: 324 - clear  0.000000000, sequence: 0
source 0 - assert 1788043809.999999901, sequence: 325 - clear  0.000000000, sequence: 0
source 0 - assert 1788043811.000000106, sequence: 326 - clear  0.000000000, sequence: 0
source 0 - assert 1788043811.999999904, sequence: 327 - clear  0.000000000, sequence: 0
source 0 - assert 1788043813.000000165, sequence: 328 - clear  0.000000000, sequence: 0
source 0 - assert 1788043813.999999888, sequence: 329 - clear  0.000000000, sequence: 0
source 0 - assert 1788043815.000000223, sequence: 330 - clear  0.000000000, sequence: 0
source 0 - assert 1788043815.999999891, sequence: 331 - clear  0.000000000, sequence: 0
source 0 - assert 1788043817.000000041, sequence: 332 - clear  0.000000000, sequence: 0
source 0 - assert 1788043817.999999876, sequence: 333 - clear  0.000000000, sequence: 0
source 0 - assert 1788043819.000000099, sequence: 334 - clear  0.000000000, sequence: 0
source 0 - assert 1788043819.999999897, sequence: 335 - clear  0.000000000, sequence: 0
source 0 - assert 1788043821.000000047, sequence: 336 - clear  0.000000000, sequence: 0
source 0 - assert 1788043821.999999863, sequence: 337 - clear  0.000000000, sequence: 0
