trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788046788.000000046, sequence: 3303 - clear  0.000000000, sequence: 0
source 0 - assert 1788046789.000000072, sequence: 3304 - clear  0.000000000, sequence: 0
source 0 - assert 1788046790.000000096, sequence: 3305 - clear  0.000000000, sequence: 0
source 0 - assert 1788046791.000000065, sequence: 3306 - clear  0.000000000, sequence: 0
source 0 - assert 1788046792.000000089, sequence: 3307 - clear  0.000000000, sequence: 0
source 0 - assert 1788046793.000000076, sequence: 3308 - clear  0.000000000, sequence: 0
source 0 - assert 1788046794.000000074, sequence: 3309 - clear  0.000000000, sequence: 0
source 0 - assert 1788046795.000000068, sequence: 3310 - clear  0.000000000, sequence: 0
source 0 - assert 1788046796.000000062, sequence: 3311 - clear  0.000000000, sequence: 0
source 0 - assert 1788046797.000000075, sequence: 3312 - clear  0.000000000, sequence: 0
source 0 - assert 1788046798.000000040, sequence: 3313 - clear  0.000000000, sequence: 0
source 0 - assert 1788046798.999999984, sequence: 3314 - clear  0.000000000, sequence: 0
source 0 - assert 1788046800.000000004, sequence: 3315 - clear  0.000000000, sequence: 0
source 0 - assert 1788046800.999999987, sequence: 3316 - clear  0.000000000, sequence: 0
source 0 - assert 1788046802.000000007, sequence: 3317 - clear  0.000000000, sequence: 0
source 0 - assert 1788046802.999999991, sequence: 3318 - clear  0.000000000, sequence: 0
source 0 - assert 1788046804.000000011, sequence: 3319 - clear  0.000000000, sequence: 0
source 0 - assert 1788046804.999999994, sequence: 3320 - clear  0.000000000, sequence: 0
source 0 - assert 1788046805.999999996, sequence: 3321 - clear  0.000000000, sequence: 0
source 0 - assert 1788046806.999999997, sequence: 3322 - clear  0.000000000, sequence: 0
source 0 - assert 1788046807.999999999, sequence: 3323 - clear  0.000000000, sequence: 0
source 0 - assert 1788046809.000000000, sequence: 3324 - clear  0.000000000, sequence: 0
source 0 - assert 1788046810.000000002, sequence: 3325 - clear  0.000000000, sequence: 0
source 0 - assert 1788046811.000000003, sequence: 3326 - clear  0.000000000, sequence: 0
source 0 - assert 1788046812.000000005, sequence: 3327 - clear  0.000000000, sequence: 0
source 0 - assert 1788046812.999999988, sequence: 3328 - clear  0.000000000, sequence: 0
source 0 - assert 1788046814.000000008, sequence: 3329 - clear  0.000000000, sequence: 0
source 0 - assert 1788046814.999999991, sequence: 3330 - clear  0.000000000, sequence: 0
source 0 - assert 1788046816.000000011, sequence: 3331 - clear  0.000000000, sequence: 0
source 0 - assert 1788046817.000000012, sequence: 3332 - clear  0.000000000, sequence: 0
source 0 - assert 1788046818.000000013, sequence: 3333 - clear  0.000000000, sequence: 0
source 0 - assert 1788046819.000000014, sequence: 3334 - clear  0.000000000, sequence: 0
source 0 - assert 1788046820.000000015, sequence: 3335 - clear  0.000000000, sequence: 0
source 0 - assert 1788046820.999999978, sequence: 3336 - clear  0.000000000, sequence: 0
source 0 - assert 1788046822.000000009, sequence: 3337 - clear  0.000000000, sequence: 0
source 0 - assert 1788046822.999999987, sequence: 3338 - clear  0.000000000, sequence: 0
source 0 - assert 1788046823.999999988, sequence: 3339 - clear  0.000000000, sequence: 0
source 0 - assert 1788046824.999999989, sequence: 3340 - clear  0.000000000, sequence: 0
source 0 - assert 1788046825.999999973, sequence: 3341 - clear  0.000000000, sequence: 0
source 0 - assert 1788046826.999999994, sequence: 3342 - clear  0.000000000, sequence: 0
source 0 - assert 1788046827.999999996, sequence: 3343 - clear  0.000000000, sequence: 0
source 0 - assert 1788046828.999999998, sequence: 3344 - clear  0.000000000, sequence: 0
source 0 - assert 1788046830.000000018, sequence: 3345 - clear  0.000000000, sequence: 0
source 0 - assert 1788046831.000000001, sequence: 3346 - clear  0.000000000, sequence: 0
source 0 - assert 1788046832.000000002, sequence: 3347 - clear  0.000000000, sequence: 0
source 0 - assert 1788046832.999999984, sequence: 3348 - clear  0.000000000, sequence: 0
source 0 - assert 1788046834.000000004, sequence: 3349 - clear  0.000000000, sequence: 0
source 0 - assert 1788046835.000000005, sequence: 3350 - clear  0.000000000, sequence: 0
source 0 - assert 1788046835.999999969, sequence: 3351 - clear  0.000000000, sequence: 0
source 0 - assert 1788046836.999999988, sequence: 3352 - clear  0.000000000, sequence: 0
source 0 - assert 1788046837.999999989, sequence: 3353 - clear  0.000000000, sequence: 0
source 0 - assert 1788046838.999999991, sequence: 3354 - clear  0.000000000, sequence: 0
source 0 - assert 1788046840.000000010, sequence: 3355 - clear  0.000000000, sequence: 0
source 0 - assert 1788046840.999999993, sequence: 3356 - clear  0.000000000, sequence: 0
source 0 - assert 1788046841.999999994, sequence: 3357 - clear  0.000000000, sequence: 0
source 0 - assert 1788046842.999999996, sequence: 3358 - clear  0.000000000, sequence: 0
source 0 - assert 1788046843.999999980, sequence: 3359 - clear  0.000000000, sequence: 0
source 0 - assert 1788046844.999999981, sequence: 3360 - clear  0.000000000, sequence: 0
source 0 - assert 1788046846.000000002, sequence: 3361 - clear  0.000000000, sequence: 0
source 0 - assert 1788046847.000000004, sequence: 3362 - clear  0.000000000, sequence: 0
source 0 - assert 1788046847.999999988, sequence: 3363 - clear  0.000000000, sequence: 0
source 0 - assert 1788046848.999999971, sequence: 3364 - clear  0.000000000, sequence: 0
source 0 - assert 1788046849.999999991, sequence: 3365 - clear  0.000000000, sequence: 0
source 0 - assert 1788046850.999999993, sequence: 3366 - clear  0.000000000, sequence: 0
source 0 - assert 1788046851.999999994, sequence: 3367 - clear  0.000000000, sequence: 0
source 0 - assert 1788046852.999999995, sequence: 3368 - clear  0.000000000, sequence: 0
source 0 - assert 1788046854.000000015, sequence: 3369 - clear  0.000000000, sequence: 0
source 0 - assert 1788046854.999999998, sequence: 3370 - clear  0.000000000, sequence: 0
source 0 - assert 1788046856.000000000, sequence: 3371 - clear  0.000000000, sequence: 0
source 0 - assert 1788046857.000000002, sequence: 3372 - clear  0.000000000, sequence: 0
source 0 - assert 1788046858.000000003, sequence: 3373 - clear  0.000000000, sequence: 0
source 0 - assert 1788046859.000000004, sequence: 3374 - clear  0.000000000, sequence: 0
source 0 - assert 1788046860.000000005, sequence: 3375 - clear  0.000000000, sequence: 0
source 0 - assert 1788046860.999999988, sequence: 3376 - clear  0.000000000, sequence: 0
source 0 - assert 1788046861.999999971, sequence: 3377 - clear  0.000000000, sequence: 0
source 0 - assert 1788046862.999999991, sequence: 3378 - clear  0.000000000, sequence: 0
source 0 - assert 1788046863.999999992, sequence: 3379 - clear  0.000000000, sequence: 0
source 0 - assert 1788046864.999999993, sequence: 3380 - clear  0.000000000, sequence: 0
source 0 - assert 1788046865.999999976, sequence: 3381 - clear  0.000000000, sequence: 0
source 0 - assert 1788046866.999999996, sequence: 3382 - clear  0.000000000, sequence: 0
source 0 - assert 1788046867.999999979, sequence: 3383 - clear  0.000000000, sequence: 0
source 0 - assert 1788046868.999999980, sequence: 3384 - clear  0.000000000, sequence: 0
source 0 - assert 1788046870.000000001, sequence: 3385 - clear  0.000000000, sequence: 0
source 0 - assert 1788046871.000000004, sequence: 3386 - clear  0.000000000, sequence: 0
source 0 - assert 1788046872.000000007, sequence: 3387 - clear  0.000000000, sequence: 0
source 0 - assert 1788046872.999999991, sequence: 3388 - clear  0.000000000, sequence: 0
source 0 - assert 1788046874.000000011, sequence: 3389 - clear  0.000000000, sequence: 0
source 0 - assert 1788046874.999999993, sequence: 3390 - clear  0.000000000, sequence: 0
source 0 - assert 1788046875.999999995, sequence: 3391 - clear  0.000000000, sequence: 0
source 0 - assert 1788046876.999999996, sequence: 3392 - clear  0.000000000, sequence: 0
source 0 - assert 1788046878.000000016, sequence: 3393 - clear  0.000000000, sequence: 0
source 0 - assert 1788046879.000000017, sequence: 3394 - clear  0.000000000, sequence: 0
source 0 - assert 1788046880.000000000, sequence: 3395 - clear  0.000000000, sequence: 0
source 0 - assert 1788046881.000000001, sequence: 3396 - clear  0.000000000, sequence: 0
source 0 - assert 1788046882.000000003, sequence: 3397 - clear  0.000000000, sequence: 0
source 0 - assert 1788046883.000000004, sequence: 3398 - clear  0.000000000, sequence: 0
source 0 - assert 1788046884.000000005, sequence: 3399 - clear  0.000000000, sequence: 0
source 0 - assert 1788046885.000000006, sequence: 3400 - clear  0.000000000, sequence: 0
source 0 - assert 1788046886.000000008, sequence: 3401 - clear  0.000000000, sequence: 0
source 0 - assert 1788046886.999999990, sequence: 3402 - clear  0.000000000, sequence: 0
source 0 - assert 1788046887.999999991, sequence: 3403 - clear  0.000000000, sequence: 0
source 0 - assert 1788046888.999999993, sequence: 3404 - clear  0.000000000, sequence: 0
source 0 - assert 1788046889.999999994, sequence: 3405 - clear  0.000000000, sequence: 0
source 0 - assert 1788046890.999999995, sequence: 3406 - clear  0.000000000, sequence: 0
source 0 - assert 1788046891.999999997, sequence: 3407 - clear  0.000000000, sequence: 0
source 0 - assert 1788046893.000000016, sequence: 3408 - clear  0.000000000, sequence: 0
source 0 - assert 1788046893.999999999, sequence: 3409 - clear  0.000000000, sequence: 0
source 0 - assert 1788046895.000000019, sequence: 3410 - clear  0.000000000, sequence: 0
source 0 - assert 1788046896.000000002, sequence: 3411 - clear  0.000000000, sequence: 0
source 0 - assert 1788046897.000000004, sequence: 3412 - clear  0.000000000, sequence: 0
source 0 - assert 1788046898.000000005, sequence: 3413 - clear  0.000000000, sequence: 0
source 0 - assert 1788046898.999999988, sequence: 3414 - clear  0.000000000, sequence: 0
source 0 - assert 1788046900.000000008, sequence: 3415 - clear  0.000000000, sequence: 0
source 0 - assert 1788046901.000000009, sequence: 3416 - clear  0.000000000, sequence: 0
source 0 - assert 1788046901.999999992, sequence: 3417 - clear  0.000000000, sequence: 0
source 0 - assert 1788046902.999999993, sequence: 3418 - clear  0.000000000, sequence: 0
source 0 - assert 1788046903.999999976, sequence: 3419 - clear  0.000000000, sequence: 0
source 0 - assert 1788046904.999999996, sequence: 3420 - clear  0.000000000, sequence: 0
source 0 - assert 1788046905.999999997, sequence: 3421 - clear  0.000000000, sequence: 0
source 0 - assert 1788046906.999999999, sequence: 3422 - clear  0.000000000, sequence: 0
source 0 - assert 1788046908.000000000, sequence: 3423 - clear  0.000000000, sequence: 0
source 0 - assert 1788046909.000000001, sequence: 3424 - clear  0.000000000, sequence: 0
source 0 - assert 1788046910.000000003, sequence: 3425 - clear  0.000000000, sequence: 0
source 0 - assert 1788046910.999999986, sequence: 3426 - clear  0.000000000, sequence: 0
source 0 - assert 1788046912.000000005, sequence: 3427 - clear  0.000000000, sequence: 0
source 0 - assert 1788046912.999999988, sequence: 3428 - clear  0.000000000, sequence: 0
source 0 - assert 1788046914.000000008, sequence: 3429 - clear  0.000000000, sequence: 0
source 0 - assert 1788046915.000000010, sequence: 3430 - clear  0.000000000, sequence: 0
source 0 - assert 1788046915.999999993, sequence: 3431 - clear  0.000000000, sequence: 0
source 0 - assert 1788046916.999999994, sequence: 3432 - clear  0.000000000, sequence: 0
source 0 - assert 1788046917.999999995, sequence: 3433 - clear  0.000000000, sequence: 0
source 0 - assert 1788046918.999999997, sequence: 3434 - clear  0.000000000, sequence: 0
source 0 - assert 1788046919.999999980, sequence: 3435 - clear  0.000000000, sequence: 0
source 0 - assert 1788046921.000000000, sequence: 3436 - clear  0.000000000, sequence: 0
source 0 - assert 1788046922.000000001, sequence: 3437 - clear  0.000000000, sequence: 0
source 0 - assert 1788046923.000000002, sequence: 3438 - clear  0.000000000, sequence: 0
source 0 - assert 1788046924.000000004, sequence: 3439 - clear  0.000000000, sequence: 0
source 0 - assert 1788046925.000000005, sequence: 3440 - clear  0.000000000, sequence: 0
source 0 - assert 1788046926.000000006, sequence: 3441 - clear  0.000000000, sequence: 0
source 0 - assert 1788046926.999999989, sequence: 3442 - clear  0.000000000, sequence: 0
source 0 - assert 1788046928.000000009, sequence: 3443 - clear  0.000000000, sequence: 0
source 0 - assert 1788046928.999999992, sequence: 3444 - clear  0.000000000, sequence: 0
