trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788052677.999999993, sequence: 168 - clear  0.000000000, sequence: 0
source 0 - assert 1788052678.999999994, sequence: 169 - clear  0.000000000, sequence: 0
source 0 - assert 1788052679.999999996, sequence: 170 - clear  0.000000000, sequence: 0
source 0 - assert 1788052680.999999997, sequence: 171 - clear  0.000000000, sequence: 0
source 0 - assert 1788052681.999999999, sequence: 172 - clear  0.000000000, sequence: 0
source 0 - assert 1788052683.000000000, sequence: 173 - clear  0.000000000, sequence: 0
source 0 - assert 1788052683.999999983, sequence: 174 - clear  0.000000000, sequence: 0
source 0 - assert 1788052685.000000003, sequence: 175 - clear  0.000000000, sequence: 0
source 0 - assert 1788052686.000000005, sequence: 176 - clear  0.000000000, sequence: 0
source 0 - assert 1788052687.000000006, sequence: 177 - clear  0.000000000, sequence: 0
source 0 - assert 1788052687.999999989, sequence: 178 - clear  0.000000000, sequence: 0
source 0 - assert 1788052689.000000009, sequence: 179 - clear  0.000000000, sequence: 0
source 0 - assert 1788052689.999999992, sequence: 180 - clear  0.000000000, sequence: 0
source 0 - assert 1788052690.999999994, sequence: 181 - clear  0.000000000, sequence: 0
source 0 - assert 1788052691.999999995, sequence: 182 - clear  0.000000000, sequence: 0
source 0 - assert 1788052692.999999996, sequence: 183 - clear  0.000000000, sequence: 0
source 0 - assert 1788052694.000000017, sequence: 184 - clear  0.000000000, sequence: 0
source 0 - assert 1788052694.999999999, sequence: 185 - clear  0.000000000, sequence: 0
source 0 - assert 1788052696.000000001, sequence: 186 - clear  0.000000000, sequence: 0
source 0 - assert 1788052697.000000002, sequence: 187 - clear  0.000000000, sequence: 0
source 0 - assert 1788052697.999999985, sequence: 188 - clear  0.000000000, sequence: 0
source 0 - assert 1788052699.000000005, sequence: 189 - clear  0.000000000, sequence: 0
source 0 - assert 1788052700.000000007, sequence: 190 - clear  0.000000000, sequence: 0
source 0 - assert 1788052701.000000008, sequence: 191 - clear  0.000000000, sequence: 0
source 0 - assert 1788052702.000000010, sequence: 192 - clear  0.000000000, sequence: 0
source 0 - assert 1788052703.000000011, sequence: 193 - clear  0.000000000, sequence: 0
source 0 - assert 1788052704.000000013, sequence: 194 - clear  0.000000000, sequence: 0
source 0 - assert 1788052704.999999996, sequence: 195 - clear  0.000000000, sequence: 0
source 0 - assert 1788052705.999999997, sequence: 196 - clear  0.000000000, sequence: 0
source 0 - assert 1788052706.999999999, sequence: 197 - clear  0.000000000, sequence: 0
source 0 - assert 1788052708.000000000, sequence: 198 - clear  0.000000000, sequence: 0
source 0 - assert 1788052709.000000001, sequence: 199 - clear  0.000000000, sequence: 0
