trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788049620.999999052, sequence: 337 - clear  0.000000000, sequence: 0
source 0 - assert 1788049621.999999037, sequence: 338 - clear  0.000000000, sequence: 0
source 0 - assert 1788049622.999999077, sequence: 339 - clear  0.000000000, sequence: 0
source 0 - assert 1788049623.999999135, sequence: 340 - clear  0.000000000, sequence: 0
source 0 - assert 1788049625.000000148, sequence: 341 - clear  0.000000000, sequence: 0
source 0 - assert 1788049626.000000132, sequence: 342 - clear  0.000000000, sequence: 0
source 0 - assert 1788049627.000000134, sequence: 343 - clear  0.000000000, sequence: 0
source 0 - assert 1788049628.000000174, sequence: 344 - clear  0.000000000, sequence: 0
source 0 - assert 1788049629.000000142, sequence: 345 - clear  0.000000000, sequence: 0
source 0 - assert 1788049630.000000148, sequence: 346 - clear  0.000000000, sequence: 0
source 0 - assert 1788049631.000000154, sequence: 347 - clear  0.000000000, sequence: 0
source 0 - assert 1788049632.000000160, sequence: 348 - clear  0.000000000, sequence: 0
source 0 - assert 1788049633.000000158, sequence: 349 - clear  0.000000000, sequence: 0
source 0 - assert 1788049634.000000192, sequence: 350 - clear  0.000000000, sequence: 0
source 0 - assert 1788049635.000000209, sequence: 351 - clear  0.000000000, sequence: 0
source 0 - assert 1788049636.000000205, sequence: 352 - clear  0.000000000, sequence: 0
source 0 - assert 1788049637.000000199, sequence: 353 - clear  0.000000000, sequence: 0
source 0 - assert 1788049638.000000212, sequence: 354 - clear  0.000000000, sequence: 0
source 0 - assert 1788049639.000000205, sequence: 355 - clear  0.000000000, sequence: 0
source 0 - assert 1788049640.000000179, sequence: 356 - clear  0.000000000, sequence: 0
source 0 - assert 1788049641.000000163, sequence: 357 - clear  0.000000000, sequence: 0
source 0 - assert 1788049642.000000110, sequence: 358 - clear  0.000000000, sequence: 0
source 0 - assert 1788049643.000000075, sequence: 359 - clear  0.000000000, sequence: 0
source 0 - assert 1788049644.000000087, sequence: 360 - clear  0.000000000, sequence: 0
source 0 - assert 1788049645.000000002, sequence: 361 - clear  0.000000000, sequence: 0
source 0 - assert 1788049645.999999985, sequence: 362 - clear  0.000000000, sequence: 0
source 0 - assert 1788049647.000000005, sequence: 363 - clear  0.000000000, sequence: 0
source 0 - assert 1788049648.000000007, sequence: 364 - clear  0.000000000, sequence: 0
source 0 - assert 1788049649.000000006, sequence: 365 - clear  0.000000000, sequence: 0
source 0 - assert 1788049649.999999986, sequence: 366 - clear  0.000000000, sequence: 0
source 0 - assert 1788049651.000000024, sequence: 367 - clear  0.000000000, sequence: 0
source 0 - assert 1788049652.000000026, sequence: 368 - clear  0.000000000, sequence: 0
source 0 - assert 1788049653.000000008, sequence: 369 - clear  0.000000000, sequence: 0
source 0 - assert 1788049653.999999991, sequence: 370 - clear  0.000000000, sequence: 0
source 0 - assert 1788049654.999999992, sequence: 371 - clear  0.000000000, sequence: 0
source 0 - assert 1788049656.000000011, sequence: 372 - clear  0.000000000, sequence: 0
source 0 - assert 1788049656.999999994, sequence: 373 - clear  0.000000000, sequence: 0
source 0 - assert 1788049658.000000013, sequence: 374 - clear  0.000000000, sequence: 0
source 0 - assert 1788049659.000000015, sequence: 375 - clear  0.000000000, sequence: 0
source 0 - assert 1788049659.999999979, sequence: 376 - clear  0.000000000, sequence: 0
source 0 - assert 1788049660.999999997, sequence: 377 - clear  0.000000000, sequence: 0
source 0 - assert 1788049661.999999996, sequence: 378 - clear  0.000000000, sequence: 0
source 0 - assert 1788049662.999999977, sequence: 379 - clear  0.000000000, sequence: 0
source 0 - assert 1788049663.999999997, sequence: 380 - clear  0.000000000, sequence: 0
source 0 - assert 1788049665.000000000, sequence: 381 - clear  0.000000000, sequence: 0
source 0 - assert 1788049666.000000002, sequence: 382 - clear  0.000000000, sequence: 0
source 0 - assert 1788049666.999999986, sequence: 383 - clear  0.000000000, sequence: 0
source 0 - assert 1788049667.999999989, sequence: 384 - clear  0.000000000, sequence: 0
source 0 - assert 1788049668.999999990, sequence: 385 - clear  0.000000000, sequence: 0
source 0 - assert 1788049669.999999991, sequence: 386 - clear  0.000000000, sequence: 0
source 0 - assert 1788049671.000000011, sequence: 387 - clear  0.000000000, sequence: 0
source 0 - assert 1788049671.999999994, sequence: 388 - clear  0.000000000, sequence: 0
source 0 - assert 1788049672.999999995, sequence: 389 - clear  0.000000000, sequence: 0
source 0 - assert 1788049673.999999978, sequence: 390 - clear  0.000000000, sequence: 0
source 0 - assert 1788049674.999999980, sequence: 391 - clear  0.000000000, sequence: 0
source 0 - assert 1788049676.000000000, sequence: 392 - clear  0.000000000, sequence: 0
source 0 - assert 1788049676.999999984, sequence: 393 - clear  0.000000000, sequence: 0
source 0 - assert 1788049678.000000005, sequence: 394 - clear  0.000000000, sequence: 0
source 0 - assert 1788049679.000000026, sequence: 395 - clear  0.000000000, sequence: 0
source 0 - assert 1788049680.000000010, sequence: 396 - clear  0.000000000, sequence: 0
source 0 - assert 1788049680.999999993, sequence: 397 - clear  0.000000000, sequence: 0
source 0 - assert 1788049681.999999994, sequence: 398 - clear  0.000000000, sequence: 0
source 0 - assert 1788049683.000000014, sequence: 399 - clear  0.000000000, sequence: 0
source 0 - assert 1788049684.000000033, sequence: 400 - clear  0.000000000, sequence: 0
source 0 - assert 1788049684.999999998, sequence: 401 - clear  0.000000000, sequence: 0
source 0 - assert 1788049685.999999999, sequence: 402 - clear  0.000000000, sequence: 0
source 0 - assert 1788049687.000000000, sequence: 403 - clear  0.000000000, sequence: 0
source 0 - assert 1788049688.000000002, sequence: 404 - clear  0.000000000, sequence: 0
source 0 - assert 1788049688.999999984, sequence: 405 - clear  0.000000000, sequence: 0
source 0 - assert 1788049690.000000004, sequence: 406 - clear  0.000000000, sequence: 0
source 0 - assert 1788049690.999999987, sequence: 407 - clear  0.000000000, sequence: 0
source 0 - assert 1788049692.000000007, sequence: 408 - clear  0.000000000, sequence: 0
source 0 - assert 1788049693.000000027, sequence: 409 - clear  0.000000000, sequence: 0
source 0 - assert 1788049693.999999991, sequence: 410 - clear  0.000000000, sequence: 0
source 0 - assert 1788049694.999999993, sequence: 411 - clear  0.000000000, sequence: 0
source 0 - assert 1788049695.999999994, sequence: 412 - clear  0.000000000, sequence: 0
source 0 - assert 1788049696.999999995, sequence: 413 - clear  0.000000000, sequence: 0
source 0 - assert 1788049697.999999997, sequence: 414 - clear  0.000000000, sequence: 0
source 0 - assert 1788049698.999999998, sequence: 415 - clear  0.000000000, sequence: 0
source 0 - assert 1788049700.000000000, sequence: 416 - clear  0.000000000, sequence: 0
source 0 - assert 1788049701.000000001, sequence: 417 - clear  0.000000000, sequence: 0
source 0 - assert 1788049702.000000003, sequence: 418 - clear  0.000000000, sequence: 0
source 0 - assert 1788049702.999999986, sequence: 419 - clear  0.000000000, sequence: 0
source 0 - assert 1788049703.999999987, sequence: 420 - clear  0.000000000, sequence: 0
source 0 - assert 1788049705.000000007, sequence: 421 - clear  0.000000000, sequence: 0
source 0 - assert 1788049705.999999990, sequence: 422 - clear  0.000000000, sequence: 0
source 0 - assert 1788049707.000000010, sequence: 423 - clear  0.000000000, sequence: 0
source 0 - assert 1788049708.000000011, sequence: 424 - clear  0.000000000, sequence: 0
source 0 - assert 1788049708.999999994, sequence: 425 - clear  0.000000000, sequence: 0
source 0 - assert 1788049710.000000014, sequence: 426 - clear  0.000000000, sequence: 0
source 0 - assert 1788049710.999999997, sequence: 427 - clear  0.000000000, sequence: 0
source 0 - assert 1788049711.999999998, sequence: 428 - clear  0.000000000, sequence: 0
source 0 - assert 1788049713.000000000, sequence: 429 - clear  0.000000000, sequence: 0
source 0 - assert 1788049714.000000001, sequence: 430 - clear  0.000000000, sequence: 0
source 0 - assert 1788049715.000000003, sequence: 431 - clear  0.000000000, sequence: 0
source 0 - assert 1788049715.999999986, sequence: 432 - clear  0.000000000, sequence: 0
source 0 - assert 1788049716.999999987, sequence: 433 - clear  0.000000000, sequence: 0
source 0 - assert 1788049717.999999988, sequence: 434 - clear  0.000000000, sequence: 0
source 0 - assert 1788049718.999999990, sequence: 435 - clear  0.000000000, sequence: 0
source 0 - assert 1788049719.999999991, sequence: 436 - clear  0.000000000, sequence: 0
source 0 - assert 1788049721.000000011, sequence: 437 - clear  0.000000000, sequence: 0
source 0 - assert 1788049721.999999994, sequence: 438 - clear  0.000000000, sequence: 0
source 0 - assert 1788049723.000000015, sequence: 439 - clear  0.000000000, sequence: 0
source 0 - assert 1788049723.999999998, sequence: 440 - clear  0.000000000, sequence: 0
source 0 - assert 1788049724.999999999, sequence: 441 - clear  0.000000000, sequence: 0
source 0 - assert 1788049726.000000001, sequence: 442 - clear  0.000000000, sequence: 0
source 0 - assert 1788049727.000000021, sequence: 443 - clear  0.000000000, sequence: 0
source 0 - assert 1788049728.000000003, sequence: 444 - clear  0.000000000, sequence: 0
source 0 - assert 1788049728.999999986, sequence: 445 - clear  0.000000000, sequence: 0
source 0 - assert 1788049730.000000006, sequence: 446 - clear  0.000000000, sequence: 0
source 0 - assert 1788049730.999999989, sequence: 447 - clear  0.000000000, sequence: 0
source 0 - assert 1788049732.000000028, sequence: 448 - clear  0.000000000, sequence: 0
source 0 - assert 1788049732.999999992, sequence: 449 - clear  0.000000000, sequence: 0
source 0 - assert 1788049733.999999993, sequence: 450 - clear  0.000000000, sequence: 0
source 0 - assert 1788049734.999999995, sequence: 451 - clear  0.000000000, sequence: 0
source 0 - assert 1788049735.999999996, sequence: 452 - clear  0.000000000, sequence: 0
source 0 - assert 1788049736.999999998, sequence: 453 - clear  0.000000000, sequence: 0
source 0 - assert 1788049737.999999999, sequence: 454 - clear  0.000000000, sequence: 0
source 0 - assert 1788049739.000000001, sequence: 455 - clear  0.000000000, sequence: 0
source 0 - assert 1788049740.000000003, sequence: 456 - clear  0.000000000, sequence: 0
source 0 - assert 1788049741.000000004, sequence: 457 - clear  0.000000000, sequence: 0
source 0 - assert 1788049741.999999987, sequence: 458 - clear  0.000000000, sequence: 0
source 0 - assert 1788049743.000000007, sequence: 459 - clear  0.000000000, sequence: 0
source 0 - assert 1788049743.999999990, sequence: 460 - clear  0.000000000, sequence: 0
source 0 - assert 1788049745.000000010, sequence: 461 - clear  0.000000000, sequence: 0
source 0 - assert 1788049745.999999993, sequence: 462 - clear  0.000000000, sequence: 0
source 0 - assert 1788049746.999999994, sequence: 463 - clear  0.000000000, sequence: 0
source 0 - assert 1788049748.000000033, sequence: 464 - clear  0.000000000, sequence: 0
source 0 - assert 1788049748.999999997, sequence: 465 - clear  0.000000000, sequence: 0
source 0 - assert 1788049749.999999999, sequence: 466 - clear  0.000000000, sequence: 0
source 0 - assert 1788049751.000000000, sequence: 467 - clear  0.000000000, sequence: 0
source 0 - assert 1788049752.000000002, sequence: 468 - clear  0.000000000, sequence: 0
source 0 - assert 1788049753.000000003, sequence: 469 - clear  0.000000000, sequence: 0
source 0 - assert 1788049754.000000042, sequence: 470 - clear  0.000000000, sequence: 0
source 0 - assert 1788049755.000000006, sequence: 471 - clear  0.000000000, sequence: 0
source 0 - assert 1788049755.999999989, sequence: 472 - clear  0.000000000, sequence: 0
source 0 - assert 1788049756.999999990, sequence: 473 - clear  0.000000000, sequence: 0
source 0 - assert 1788049758.000000010, sequence: 474 - clear  0.000000000, sequence: 0
source 0 - assert 1788049759.000000012, sequence: 475 - clear  0.000000000, sequence: 0
source 0 - assert 1788049759.999999995, sequence: 476 - clear  0.000000000, sequence: 0
source 0 - assert 1788049760.999999996, sequence: 477 - clear  0.000000000, sequence: 0
source 0 - assert 1788049761.999999997, sequence: 478 - clear  0.000000000, sequence: 0
source 0 - assert 1788049763.000000017, sequence: 479 - clear  0.000000000, sequence: 0
source 0 - assert 1788049764.000000037, sequence: 480 - clear  0.000000000, sequence: 0
source 0 - assert 1788049765.000000002, sequence: 481 - clear  0.000000000, sequence: 0
source 0 - assert 1788049766.000000003, sequence: 482 - clear  0.000000000, sequence: 0
source 0 - assert 1788049767.000000004, sequence: 483 - clear  0.000000000, sequence: 0
source 0 - assert 1788049768.000000006, sequence: 484 - clear  0.000000000, sequence: 0
source 0 - assert 1788049769.000000007, sequence: 485 - clear  0.000000000, sequence: 0
source 0 - assert 1788049770.000000009, sequence: 486 - clear  0.000000000, sequence: 0
source 0 - assert 1788049770.999999992, sequence: 487 - clear  0.000000000, sequence: 0
source 0 - assert 1788049771.999999993, sequence: 488 - clear  0.000000000, sequence: 0
source 0 - assert 1788049773.000000013, sequence: 489 - clear  0.000000000, sequence: 0
source 0 - assert 1788049773.999999996, sequence: 490 - clear  0.000000000, sequence: 0
source 0 - assert 1788049774.999999997, sequence: 491 - clear  0.000000000, sequence: 0
source 0 - assert 1788049776.000000017, sequence: 492 - clear  0.000000000, sequence: 0
source 0 - assert 1788049777.000000019, sequence: 493 - clear  0.000000000, sequence: 0
source 0 - assert 1788049778.000000002, sequence: 494 - clear  0.000000000, sequence: 0
source 0 - assert 1788049779.000000003, sequence: 495 - clear  0.000000000, sequence: 0
source 0 - assert 1788049780.000000004, sequence: 496 - clear  0.000000000, sequence: 0
source 0 - assert 1788049781.000000006, sequence: 497 - clear  0.000000000, sequence: 0
source 0 - assert 1788049782.000000007, sequence: 498 - clear  0.000000000, sequence: 0
source 0 - assert 1788049783.000000008, sequence: 499 - clear  0.000000000, sequence: 0
source 0 - assert 1788049784.000000009, sequence: 500 - clear  0.000000000, sequence: 0
source 0 - assert 1788049785.000000011, sequence: 501 - clear  0.000000000, sequence: 0
source 0 - assert 1788049786.000000012, sequence: 502 - clear  0.000000000, sequence: 0
source 0 - assert 1788049786.999999995, sequence: 503 - clear  0.000000000, sequence: 0
source 0 - assert 1788049788.000000033, sequence: 504 - clear  0.000000000, sequence: 0
source 0 - assert 1788049789.000000016, sequence: 505 - clear  0.000000000, sequence: 0
source 0 - assert 1788049789.999999998, sequence: 506 - clear  0.000000000, sequence: 0
source 0 - assert 1788049791.000000000, sequence: 507 - clear  0.000000000, sequence: 0
source 0 - assert 1788049792.000000001, sequence: 508 - clear  0.000000000, sequence: 0
source 0 - assert 1788049793.000000002, sequence: 509 - clear  0.000000000, sequence: 0
source 0 - assert 1788049794.000000003, sequence: 510 - clear  0.000000000, sequence: 0
source 0 - assert 1788049795.000000004, sequence: 511 - clear  0.000000000, sequence: 0
source 0 - assert 1788049796.000000006, sequence: 512 - clear  0.000000000, sequence: 0
source 0 - assert 1788049797.000000007, sequence: 513 - clear  0.000000000, sequence: 0
source 0 - assert 1788049798.000000008, sequence: 514 - clear  0.000000000, sequence: 0
source 0 - assert 1788049799.000000010, sequence: 515 - clear  0.000000000, sequence: 0
source 0 - assert 1788049800.000000030, sequence: 516 - clear  0.000000000, sequence: 0
source 0 - assert 1788049801.000000012, sequence: 517 - clear  0.000000000, sequence: 0
source 0 - assert 1788049801.999999995, sequence: 518 - clear  0.000000000, sequence: 0
source 0 - assert 1788049803.000000033, sequence: 519 - clear  0.000000000, sequence: 0
source 0 - assert 1788049803.999999998, sequence: 520 - clear  0.000000000, sequence: 0
source 0 - assert 1788049804.999999998, sequence: 521 - clear  0.000000000, sequence: 0
source 0 - assert 1788049805.999999999, sequence: 522 - clear  0.000000000, sequence: 0
source 0 - assert 1788049807.000000000, sequence: 523 - clear  0.000000000, sequence: 0
source 0 - assert 1788049808.000000001, sequence: 524 - clear  0.000000000, sequence: 0
source 0 - assert 1788049809.000000002, sequence: 525 - clear  0.000000000, sequence: 0
source 0 - assert 1788049810.000000004, sequence: 526 - clear  0.000000000, sequence: 0
source 0 - assert 1788049811.000000005, sequence: 527 - clear  0.000000000, sequence: 0
source 0 - assert 1788049812.000000025, sequence: 528 - clear  0.000000000, sequence: 0
source 0 - assert 1788049812.999999989, sequence: 529 - clear  0.000000000, sequence: 0
source 0 - assert 1788049813.999999991, sequence: 530 - clear  0.000000000, sequence: 0
source 0 - assert 1788049814.999999992, sequence: 531 - clear  0.000000000, sequence: 0
source 0 - assert 1788049815.999999993, sequence: 532 - clear  0.000000000, sequence: 0
source 0 - assert 1788049816.999999995, sequence: 533 - clear  0.000000000, sequence: 0
source 0 - assert 1788049817.999999996, sequence: 534 - clear  0.000000000, sequence: 0
source 0 - assert 1788049818.999999997, sequence: 535 - clear  0.000000000, sequence: 0
source 0 - assert 1788049819.999999999, sequence: 536 - clear  0.000000000, sequence: 0
