trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788041845.000000051, sequence: 9112 - clear  0.000000000, sequence: 0
source 0 - assert 1788041845.999999641, sequence: 9113 - clear  0.000000000, sequence: 0
source 0 - assert 1788041846.999999807, sequence: 9114 - clear  0.000000000, sequence: 0
source 0 - assert 1788041847.999999437, sequence: 9115 - clear  0.000000000, sequence: 0
source 0 - assert 1788041848.999999807, sequence: 9116 - clear  0.000000000, sequence: 0
source 0 - assert 1788041850.000000033, sequence: 9117 - clear  0.000000000, sequence: 0
source 0 - assert 1788041850.999999557, sequence: 9118 - clear  0.000000000, sequence: 0
source 0 - assert 1788041851.999999841, sequence: 9119 - clear  0.000000000, sequence: 0
source 0 - assert 1788041852.999999643, sequence: 9120 - clear  0.000000000, sequence: 0
source 0 - assert 1788041853.999999357, sequence: 9121 - clear  0.000000000, sequence: 0
source 0 - assert 1788041855.000000463, sequence: 9122 - clear  0.000000000, sequence: 0
source 0 - assert 1788041856.000000044, sequence: 9123 - clear  0.000000000, sequence: 0
source 0 - assert 1788041857.000000145, sequence: 9124 - clear  0.000000000, sequence: 0
source 0 - assert 1788041858.000000396, sequence: 9125 - clear  0.000000000, sequence: 0
source 0 - assert 1788041859.000000316, sequence: 9126 - clear  0.000000000, sequence: 0
source 0 - assert 1788041860.000000458, sequence: 9127 - clear  0.000000000, sequence: 0
source 0 - assert 1788041861.000000841, sequence: 9128 - clear  0.000000000, sequence: 0
source 0 - assert 1788041862.000000265, sequence: 9129 - clear  0.000000000, sequence: 0
source 0 - assert 1788041863.000000215, sequence: 9130 - clear  0.000000000, sequence: 0
source 0 - assert 1788041864.000000424, sequence: 9131 - clear  0.000000000, sequence: 0
source 0 - assert 1788041865.000000603, sequence: 9132 - clear  0.000000000, sequence: 0
source 0 - assert 1788041866.000000507, sequence: 9133 - clear  0.000000000, sequence: 0
source 0 - assert 1788041867.000000214, sequence: 9134 - clear  0.000000000, sequence: 0
source 0 - assert 1788041868.000000440, sequence: 9135 - clear  0.000000000, sequence: 0
source 0 - assert 1788041869.000000239, sequence: 9136 - clear  0.000000000, sequence: 0
source 0 - assert 1788041870.000000086, sequence: 9137 - clear  0.000000000, sequence: 0
source 0 - assert 1788041871.000000111, sequence: 9138 - clear  0.000000000, sequence: 0
source 0 - assert 1788041872.000000470, sequence: 9139 - clear  0.000000000, sequence: 0
source 0 - assert 1788041872.999999902, sequence: 9140 - clear  0.000000000, sequence: 0
source 0 - assert 1788041873.999999831, sequence: 9141 - clear  0.000000000, sequence: 0
source 0 - assert 1788041874.999999997, sequence: 9142 - clear  0.000000000, sequence: 0
source 0 - assert 1788041875.999999959, sequence: 9143 - clear  0.000000000, sequence: 0
source 0 - assert 1788041877.000001107, sequence: 9144 - clear  0.000000000, sequence: 0
source 0 - assert 1788041877.999999977, sequence: 9145 - clear  0.000000000, sequence: 0
source 0 - assert 1788041879.000000347, sequence: 9146 - clear  0.000000000, sequence: 0
source 0 - assert 1788041879.999999884, sequence: 9147 - clear  0.000000000, sequence: 0
source 0 - assert 1788041880.999999921, sequence: 9148 - clear  0.000000000, sequence: 0
source 0 - assert 1788041882.000000420, sequence: 9149 - clear  0.000000000, sequence: 0
source 0 - assert 1788041882.999999771, sequence: 9150 - clear  0.000000000, sequence: 0
source 0 - assert 1788041883.999999770, sequence: 9151 - clear  0.000000000, sequence: 0
source 0 - assert 1788041884.999999695, sequence: 9152 - clear  0.000000000, sequence: 0
source 0 - assert 1788041886.000000405, sequence: 9153 - clear  0.000000000, sequence: 0
source 0 - assert 1788041886.999999989, sequence: 9154 - clear  0.000000000, sequence: 0
source 0 - assert 1788041888.000000028, sequence: 9155 - clear  0.000000000, sequence: 0
source 0 - assert 1788041889.000000573, sequence: 9156 - clear  0.000000000, sequence: 0
source 0 - assert 1788041890.000000085, sequence: 9157 - clear  0.000000000, sequence: 0
source 0 - assert 1788041890.999999785, sequence: 9158 - clear  0.000000000, sequence: 0
source 0 - assert 1788041892.000000171, sequence: 9159 - clear  0.000000000, sequence: 0
source 0 - assert 1788041893.000000446, sequence: 9160 - clear  0.000000000, sequence: 0
source 0 - assert 1788041894.000000341, sequence: 9161 - clear  0.000000000, sequence: 0
source 0 - assert 1788041895.000000136, sequence: 9162 - clear  0.000000000, sequence: 0
source 0 - assert 1788041896.000001302, sequence: 9163 - clear  0.000000000, sequence: 0
source 0 - assert 1788041897.000000171, sequence: 9164 - clear  0.000000000, sequence: 0
source 0 - assert 1788041897.999999914, sequence: 9165 - clear  0.000000000, sequence: 0
source 0 - assert 1788041898.999999791, sequence: 9166 - clear  0.000000000, sequence: 0
source 0 - assert 1788041900.000000057, sequence: 9167 - clear  0.000000000, sequence: 0
source 0 - assert 1788041900.999999816, sequence: 9168 - clear  0.000000000, sequence: 0
source 0 - assert 1788041902.000000234, sequence: 9169 - clear  0.000000000, sequence: 0
source 0 - assert 1788041903.000000227, sequence: 9170 - clear  0.000000000, sequence: 0
source 0 - assert 1788041904.000000165, sequence: 9171 - clear  0.000000000, sequence: 0
